municipality,avg_price,avg_surface,population,pop_density,size,avg_income,schiphol_distance,station_count,express_train_station_count,interchange_intercity_station_count,interchange_local_train_station_count,intercity_station_count,local_train_station_count,mega_station_count,m2_price
Bronckhorst,448373.0,162.0,36277.0,128.0,28353.0,38.1,110.34450824411917,1,0,0,0,0,1,0,2767.7345679012346
Brummen,381877.0,131.0,21105.0,252.0,8363.0,36.5,96.148822857344,2,0,0,0,0,2,0,2915.091603053435
Brunssum,254101.0,125.0,27682.0,1606.0,1724.0,30.9,174.6386687898907,0,0,0,0,0,0,0,2032.808
Bunnik,550477.0,135.0,16026.0,434.0,3693.0,41.2,44.02153934034079,1,0,0,0,0,1,0,4077.607407407407
Bunschoten,441758.0,125.0,22500.0,740.0,3039.0,37.9,42.430530833443356,0,0,0,0,0,0,0,3534.064
Buren,489397.0,158.0,27725.0,208.0,13360.0,39.0,61.34710477849291,0,0,0,0,0,0,0,3097.4493670886077
Capelle aan den IJssel,365589.0,103.0,67552.0,4777.0,1414.0,34.5,43.55340889942568,1,0,0,0,0,1,0,3549.4077669902913
Castricum,484354.0,122.0,36345.0,732.0,4964.0,41.1,27.177132919053996,1,0,0,0,1,0,0,3970.1147540983607
Coevorden,352000.0,144.0,35700.0,121.0,29611.0,33.8,142.56900965898495,2,0,0,0,0,1,0,2444.4444444444443
Cranendonck,401855.0,156.0,20851.0,273.0,7650.0,36.6,128.45573349299073,1,0,0,0,0,1,0,2575.99358974359
Culemborg,427235.0,120.0,29729.0,1016.0,2927.0,36.4,51.7474675117453,1,0,0,0,0,1,0,3560.2916666666665
Dalfsen,453709.0,157.0,29612.0,179.0,16502.0,36.7,105.97887455427676,1,1,0,0,0,0,0,2889.8662420382166
Dantumadiel,332254.0,147.0,19194.0,227.0,8460.0,31.6,135.54279834852122,2,0,0,0,0,2,0,2260.2312925170068
Delft,388177.0,88.0,106086.0,4681.0,2266.0,29.7,43.96855568737282,2,0,1,0,0,1,0,4411.102272727273
Deurne,412143.0,162.0,32977.0,282.0,11676.0,35.5,122.64228085666896,1,0,0,0,0,1,0,2544.0925925925926
Deventer,367666.0,113.0,102781.0,787.0,13056.0,33.3,101.28319379530737,2,0,1,0,0,1,0,3253.6814159292035
Diemen,510732.0,90.0,32785.0,2744.0,1195.0,35.1,16.2462531120961,2,0,0,0,0,2,0,5674.8
Dijk en Waard,401787.0,119.0,88985.0,1438.0,6190.0,36.5,40.97009269643911,1,0,0,1,0,0,0,3376.361344537815
Dinkelland,396513.0,165.0,26743.0,152.0,17572.0,38.4,147.22186085060187,0,0,0,0,0,0,0,2403.109090909091
Doesburg,361938.0,122.0,11081.0,959.0,1156.0,32.8,100.9632992851348,0,0,0,0,0,0,0,2966.7049180327867
Doetinchem,366531.0,126.0,59195.0,749.0,7904.0,34.1,112.11549583552443,4,0,0,1,0,3,0,2908.9761904761904
Dongen,407522.0,136.0,27200.0,930.0,2923.0,36.5,76.99270494480332,0,0,0,0,0,0,0,2996.485294117647
Dordrecht,337051.0,104.0,121434.0,1566.0,7756.0,34.3,59.47168977422808,3,0,1,0,0,2,0,3240.875
Drechterland,443472.0,146.0,20385.0,346.0,5888.0,38.1,47.95852034190483,1,0,0,0,0,1,0,3037.4794520547944
Drimmelen,404271.0,143.0,27994.0,295.0,9505.0,37.6,68.51778653076461,0,0,0,0,0,0,0,2827.0699300699303
Dronten,391106.0,135.0,43593.0,131.0,33360.0,35.1,67.92181420233767,1,0,0,0,0,1,0,2897.0814814814817
Druten,393365.0,142.0,19505.0,520.0,3752.0,36.0,76.659175488192,0,0,0,0,0,0,0,2770.176056338028
Duiven,378523.0,128.0,24937.0,736.0,3388.0,35.9,95.8543418429368,1,0,0,0,0,1,0,2957.2109375
Echt-Susteren,323939.0,160.0,31967.0,310.0,10302.0,34.6,158.4859495567362,2,0,0,0,0,2,0,2024.61875
Edam-Volendam,401690.0,128.0,36760.0,677.0,5432.0,40.2,31.04061590669213,0,0,0,0,0,0,0,3138.203125
Ede,428788.0,120.0,122012.0,384.0,31815.0,36.4,71.88838213559723,4,0,1,0,0,3,0,3573.233333333333
Eemnes,469958.0,135.0,9598.0,309.0,3104.0,40.9,36.91130500081404,0,0,0,0,0,0,0,3481.17037037037
Eemsdelta,258900.0,141.0,45394.0,169.0,26807.0,31.0,180.0487874772239,5,0,0,0,0,5,0,1836.1702127659576
Eersel,497606.0,166.0,20004.0,243.0,8247.0,40.5,109.4468000380223,0,0,0,0,0,0,0,2997.626506024096
