municipality,avg_price,avg_surface,population,pop_density,size,avg_income,schiphol_distance,station_count,express_train_station_count,interchange_intercity_station_count,interchange_local_train_station_count,intercity_station_count,local_train_station_count,mega_station_count,m2_price
Oldenzaal,352349.0,130.0,31925.0,1481.0,2155.0,34.6,147.10015836926294,1,0,0,0,0,1,0,2710.376923076923
Olst-Wijhe,392170.0,145.0,18682.0,164.0,11366.0,36.2,95.56145748210344,2,0,0,0,2,0,0,2704.6206896551726
Ommen,414665.0,150.0,18955.0,105.0,17985.0,35.9,116.49467275525203,1,0,0,0,0,0,0,2764.4333333333334
Oost Gelre,335834.0,152.0,29846.0,271.0,10993.0,36.1,129.36320757590906,1,0,0,0,0,1,0,2209.434210526316
Oosterhout,383798.0,127.0,57425.0,804.0,7143.0,36.1,75.81456851712832,0,0,0,0,0,0,0,3022.031496062992
Ooststellingwerf,340529.0,124.0,25837.0,116.0,22330.0,32.9,127.3613131442368,0,0,0,0,0,0,0,2746.201612903226
Oostzaan,512640.0,114.0,9720.0,841.0,1156.0,38.8,17.45281390665664,0,0,0,0,0,0,0,4496.8421052631575
Opmeer,406119.0,142.0,12180.0,294.0,4148.0,37.2,46.46901560019555,0,0,0,0,0,0,0,2859.992957746479
Opsterland,356626.0,162.0,30054.0,134.0,22440.0,34.7,122.9670737724641,0,0,0,0,0,0,0,2201.395061728395
Oss,391472.0,135.0,94437.0,583.0,16201.0,35.0,79.80378146980722,3,0,1,0,0,2,0,2899.7925925925924
Oude IJsselstreek,340047.0,151.0,39613.0,291.0,13607.0,33.5,122.17721710162031,2,0,0,0,0,2,0,2251.9668874172185
Ouder-Amstel,630471.0,122.0,14276.0,596.0,2395.0,43.3,11.627123162698828,1,0,0,1,0,0,0,5167.795081967213
Oudewater,449685.0,136.0,10232.0,263.0,3890.0,40.1,33.08590754314561,0,0,0,0,0,0,0,3306.5073529411766
Overbetuwe,433469.0,137.0,48707.0,447.0,10903.0,37.1,82.77024724008088,2,0,0,1,0,1,0,3164.007299270073
Papendrecht,363336.0,112.0,32277.0,3428.0,941.0,35.9,53.83540903496063,0,0,0,0,0,0,0,3244.0714285714284
Peel en Maas,371634.0,161.0,45276.0,284.0,15935.0,35.4,138.54328672592843,0,0,0,0,0,0,0,2308.285714285714
Pekela,215756.0,147.0,12404.0,253.0,4904.0,29.5,171.9078315530362,0,0,0,0,0,0,0,1467.7278911564626
Pijnacker-Nootdorp,529527.0,131.0,57672.0,1564.0,3687.0,41.9,39.993961738865536,0,0,0,0,0,0,0,4042.1908396946565
Purmerend,418835.0,110.0,93992.0,1004.0,9361.0,35.4,28.149194282623743,3,0,0,1,0,2,0,3807.590909090909
Putten,525344.0,136.0,24904.0,292.0,8521.0,37.7,57.551631884419436,1,0,0,0,0,1,0,3862.823529411765
Raalte,421573.0,149.0,38500.0,225.0,17097.0,35.5,104.25733330272432,2,0,0,0,0,2,0,2829.3489932885905
Reimerswaal,309829.0,127.0,23255.0,229.0,10176.0,34.7,106.27002211030506,3,0,0,0,0,3,0,2439.5984251968503
Renkum,454631.0,130.0,31461.0,685.0,4596.0,38.9,79.43067922442822,2,0,0,0,0,2,0,3497.1615384615384
Renswoude,419133.0,150.0,5747.0,313.0,1839.0,59.4,60.26231215011699,0,0,0,0,0,0,0,2794.22
Reusel-De Mierden,435659.0,164.0,13542.0,174.0,7781.0,37.2,107.77927372306554,0,0,0,0,0,0,0,2656.4573170731705
Rheden,393825.0,120.0,43570.0,533.0,8177.0,34.6,94.26372814908821,3,0,0,0,1,2,0,3281.875
Rhenen,493055.0,130.0,20329.0,484.0,4202.0,37.8,66.89087658034036,1,0,0,1,0,0,0,3792.730769230769
Ridderkerk,339295.0,104.0,47477.0,2022.0,2348.0,34.9,50.696383694160694,0,0,0,0,0,0,0,3262.451923076923
Rijssen-Holten,390878.0,137.0,38493.0,409.0,9412.0,37.6,114.74288831383512,2,0,0,0,0,2,0,2853.124087591241
Rijswijk,385294.0,102.0,57997.0,4150.0,1398.0,35.4,42.40618553579998,1,0,0,0,0,1,0,3777.392156862745
Roerdalen,330300.0,159.0,20702.0,235.0,8821.0,34.9,157.69580869022744,0,0,0,0,0,0,0,2077.3584905660377
Roermond,344337.0,128.0,59981.0,989.0,6064.0,32.8,151.38394075681867,2,0,1,0,0,1,0,2690.1328125
De Ronde Venen,510413.0,134.0,45572.0,457.0,9968.0,43.5,15.315669470050937,1,0,0,0,0,1,0,3809.0522388059703
Roosendaal,342488.0,122.0,77613.0,729.0,10650.0,33.8,91.99485077059101,1,0,1,0,0,0,0,2807.27868852459
Rotterdam,383652.0,90.0,663900.0,3040.0,21842.0,31.8,52.78950052505125,7,0,0,0,1,4,1,4262.8
Rozendaal,739742.0,194.0,1754.0,63.0,2790.0,81.4,88.56916228079874,0,0,0,0,0,0,0,3813.103092783505
Rucphen,428608.0,151.0,23636.0,367.0,6438.0,34.7,89.0860990614688,0,0,0,0,0,0,0,2838.46357615894
Schagen,361248.0,142.0,47450.0,282.0,16799.0,36.6,52.110429772337234,1,0,0,0,0,1,0,2544.0
Scherpenzeel,445731.0,96.0,10386.0,753.0,1379.0,37.4,57.25259493292109,0,0,0,0,0,0,0,4643.03125
Schiedam,312009.0,96.0,80628.0,4528.0,1781.0,32.7,49.859636052908535,1,0,0,0,0,1,0,3250.09375
Schiermonnikoog,392520.0,121.0,982.0,23.0,4293.0,42.4,164.18434224564066,0,0,0,0,0,0,0,3243.96694214876
Schouwen-Duiveland,426422.0,135.0,34561.0,151.0,22860.0,37.0,90.86892055180776,0,0,0,0,0,0,0,3158.6814814814816
Simpelveld,305913.0,150.0,10396.0,649.0,1603.0,33.5,186.26309151982116,0,0,0,0,0,0,0,2039.42
Sint-Michielsgestel,508033.0,160.0,30135.0,516.0,5835.0,40.3,84.9860968627197,0,0,0,0,0,0,0,3175.20625
Sittard-Geleen,299110.0,127.0,92234.0,1173.0,7861.0,32.7,163.6513077645074,3,0,1,0,0,2,0,2355.196850393701
Sliedrecht,348242.0,105.0,26184.0,2038.0,1285.0,33.9,54.031197183964295,2,0,0,0,0,2,0,3316.5904761904762
Sluis,343411.0,137.0,23243.0,83.0,27860.0,34.3,138.63754968095049,0,0,0,0,0,0,0,2506.6496350364964
Smallingerland,311690.0,131.0,56098.0,479.0,11717.0,32.2,124.20193860991404,0,0,0,0,0,0,0,2379.312977099237
Soest,496039.0,121.0,47439.0,1026.0,4625.0,39.5,41.33171337407354,3,0,0,1,0,2,0,4099.495867768595
Someren,410727.0,164.0,20061.0,250.0,8010.0,37.1,122.67260806564734,0,0,0,0,0,0,0,2504.432926829268
Son en Breugel,525199.0,152.0,18010.0,694.0,2595.0,42.0,102.10724239443955,0,0,0,0,0,0,0,3455.2565789473683
Stadskanaal,265130.0,122.0,32135.0,273.0,11763.0,30.5,170.5581185273524,0,0,0,0,0,0,0,2173.1967213114754
Staphorst,348135.0,213.0,17628.0,132.0,13394.0,37.0,104.94288184855492,0,0,0,0,0,0,0,1634.4366197183099
Stede Broec,361141.0,125.0,22138.0,1529.0,1448.0,34.6,53.76298698427431,2,0,0,0,0,2,0,2889.128
Steenbergen,340642.0,135.0,24610.0,168.0,14650.0,34.4,84.96012604401513,0,0,0,0,0,0,0,2523.274074074074
Steenwijkerland,364946.0,151.0,45376.0,157.0,28831.0,34.4,99.54549141911397,1,0,0,0,1,0,0,2416.860927152318
Stein,307129.0,142.0,24772.0,1184.0,2092.0,34.2,165.5077578146254,1,0,0,0,0,1,0,2162.8802816901407
Stichtse Vecht,463136.0,121.0,65771.0,685.0,9604.0,41.0,23.77115973845052,2,0,0,1,0,1,0,3827.5702479338843
Súdwest-Fryslân,333187.0,151.0,90883.0,174.0,52270.0,33.6,95.56986044674022,7,0,0,1,0,6,0,2206.53642384106
Terneuzen,279351.0,126.0,54993.0,220.0,25013.0,33.9,130.0373726132127,0,0,0,0,0,0,0,2217.0714285714284
Terschelling,519238.0,137.0,4928.0,57.0,8721.0,34.5,126.61016576000071,0,0,0,0,0,0,0,3790.058394160584
Texel,435091.0,125.0,13979.0,86.0,16226.0,35.2,85.06391063868404,0,0,0,0,0,0,0,3480.728
Teylingen,478659.0,119.0,38510.0,1360.0,2832.0,41.3,19.659651349809327,2,0,0,0,0,2,0,4022.344537815126
Tholen,301243.0,135.0,26825.0,183.0,14672.0,34.5,92.53194768022892,0,0,0,0,0,0,0,2231.4296296296297
Tiel,367705.0,115.0,42604.0,1299.0,3280.0,33.0,65.76721336009086,2,0,0,1,0,1,0,3197.4347826086955
Tilburg,371491.0,111.0,227707.0,1809.0,12589.0,31.4,84.51253952521611,3,0,1,0,0,2,0,3346.765765765766
Tubbergen,408662.0,196.0,21408.0,146.0,14700.0,37.6,138.1704747575214,0,0,0,0,0,0,0,2085.0102040816328
Twenterand,338159.0,148.0,33867.0,319.0,10614.0,33.1,126.38701805592216,2,0,0,0,0,2,0,2284.858108108108
Tynaarlo,441709.0,146.0,34592.0,242.0,14288.0,39.1,152.31407382456268,0,0,0,0,0,0,0,3025.404109589041
Tytsjerksteradiel,327843.0,151.0,32408.0,218.0,14863.0,33.8,127.86412446770261,1,0,0,0,0,1,0,2171.1456953642382
Uitgeest,430433.0,123.0,13472.0,703.0,1916.0,38.9,23.264568014926468,1,0,0,1,0,0,0,3499.4552845528456
Uithoorn,492522.0,117.0,31442.0,1735.0,1812.0,38.1,9.251011345015502,0,0,0,0,0,0,0,4209.589743589743
Urk,346323.0,128.0,21829.0,1661.0,1314.0,34.9,70.77067447116568,0,0,0,0,0,0,0,2705.6484375
Utrecht,474406.0,95.0,367947.0,3924.0,9377.0,34.9,33.42734464613383,9,0,0,2,0,6,1,4993.747368421053
Utrechtse Heuvelrug,565002.0,132.0,50429.0,382.0,13202.0,42.3,53.73098169419451,2,0,0,2,0,0,0,4280.318181818182
Vaals,339157.0,123.0,10190.0,427.0,2389.0,30.6,191.36577021339514,0,0,0,0,0,0,0,2757.3739837398375
Valkenburg aan de Geul,374549.0,144.0,16423.0,447.0,3673.0,35.8,178.09308510373975,2,0,0,0,0,1,0,2601.034722222222
Valkenswaard,445032.0,131.0,31527.0,574.0,5491.0,35.8,120.35556392296483,0,0,0,0,0,0,0,3397.1908396946565
Veendam,269888.0,124.0,27616.0,364.0,7593.0,31.3,167.44146130603622,1,0,0,1,0,0,0,2176.516129032258
Veenendaal,393050.0,111.0,68525.0,3528.0,1942.0,35.0,63.975763274425155,2,0,0,1,0,1,0,3540.990990990991
Veere,450324.0,140.0,22045.0,166.0,13299.0,38.4,118.99014032364528,0,0,0,0,0,0,0,3216.6
Veldhoven,486364.0,134.0,46417.0,1465.0,3168.0,38.5,109.58575203740186,0,0,0,0,0,0,0,3629.582089552239
Velsen,445225.0,103.0,68790.0,1528.0,4503.0,35.8,16.860597605384207,3,0,0,0,0,3,0,4322.57281553398
Venlo,318113.0,129.0,103328.0,832.0,12416.0,32.2,141.20569851695655,3,0,1,0,0,2,0,2465.9922480620153
Venray,369202.0,151.0,44628.0,273.0,16318.0,34.9,121.93793738929335,1,0,0,1,0,0,0,2445.046357615894
Vijfheerenlanden,411710.0,127.0,60052.0,411.0,14628.0,36.5,47.170130332253024,1,0,0,0,0,1,0,3241.8110236220473
Vlaardingen,318185.0,94.0,75079.0,3214.0,2336.0,32.7,52.770378928681225,0,0,0,0,0,0,0,3384.946808510638
Vlieland,526909.0,111.0,1291.0,31.0,4184.0,42.7,105.51272391215204,0,0,0,0,0,0,0,4746.927927927928
Vlissingen,274120.0,106.0,45150.0,1314.0,3437.0,31.3,122.9666668851893,2,0,1,0,0,1,0,2586.0377358490564
Voerendaal,373016.0,160.0,12405.0,394.0,3151.0,36.7,179.9795204500614,3,0,0,0,0,3,0,2331.35
Voorne aan Zee,433128.0,124.0,73945.0,607.0,12177.0,38.9,64.47932352253706,0,0,0,0,0,0,0,3492.967741935484
Voorschoten,534837.0,121.0,25665.0,2309.0,1111.0,42.2,29.989214571703855,2,0,0,0,0,2,0,4420.140495867769
Voorst,473723.0,146.0,25215.0,205.0,12293.0,37.9,92.42822463055666,2,0,0,0,0,2,0,3244.678082191781
Vught,606139.0,144.0,32113.0,535.0,6002.0,44.1,81.323524803203,1,0,0,0,0,1,0,4209.298611111111
Waadhoeke,273994.0,157.0,46718.0,164.0,28542.0,32.5,116.57090247106977,3,0,0,0,0,3,0,1745.1847133757963
Waalre,566029.0,151.0,17980.0,803.0,2238.0,44.1,114.38930036689572,0,0,0,0,0,0,0,3748.53642384106
Waalwijk,394820.0,123.0,49952.0,774.0,6454.0,34.3,71.623247174356,0,0,0,0,0,0,0,3209.918699186992
Waddinxveen,395832.0,120.0,32601.0,1175.0,2775.0,36.9,31.185676873732305,4,0,0,0,0,4,0,3298.6
Wageningen,448168.0,106.0,40960.0,1347.0,3042.0,27.4,73.25267147513702,0,0,0,0,0,0,0,4228.0
Wassenaar,799869.0,157.0,27093.0,529.0,5118.0,56.6,32.24542228516038,0,0,0,0,0,0,0,5094.707006369426
Waterland,497101.0,128.0,17609.0,339.0,5199.0,41.3,23.66251297108848,0,0,0,0,0,0,0,3883.6015625
Weert,354656.0,136.0,50872.0,488.0,10425.0,34.8,136.72277600376108,1,0,0,0,1,0,0,2607.764705882353
West Betuwe,445305.0,141.0,52720.0,244.0,21593.0,39.0,59.59802183619691,2,0,0,1,0,1,0,3158.191489361702
West Maas en Waal,421403.0,163.0,20065.0,263.0,7619.0,36.6,72.65716185910028,0,0,0,0,0,0,0,2585.294478527607
Westerkwartier,343694.0,165.0,64946.0,179.0,36263.0,34.9,146.64022225142196,2,0,0,0,0,2,0,2082.9939393939394
Westerveld,423746.0,185.0,19860.0,71.0,27865.0,36.6,119.650440940877,0,0,0,0,0,0,0,2290.518918918919
Westervoort,363393.0,119.0,15114.0,2155.0,701.0,33.4,92.5257181821725,1,0,0,0,0,1,0,3053.72268907563
Westerwolde,311773.0,156.0,26537.0,96.0,27577.0,31.8,177.80197361191404,0,0,0,0,0,0,0,1998.5448717948718
Westland,453597.0,123.0,114887.0,1423.0,8076.0,37.6,50.76615388084571,0,0,0,0,0,0,0,3687.7804878048782
Weststellingwerf,365677.0,145.0,26467.0,120.0,22020.0,32.5,105.97490528646485,1,0,0,0,0,1,0,2521.9103448275864
Wierden,403015.0,146.0,24862.0,263.0,9460.0,38.4,123.18199767063075,1,0,0,1,0,0,0,2760.376712328767
Wijchen,404160.0,133.0,41537.0,629.0,6604.0,36.4,85.60353363484877,1,0,0,0,0,1,0,3038.7969924812032
Wijdemeren,583088.0,125.0,24659.0,519.0,4754.0,45.0,25.042638873602822,0,0,0,0,0,0,0,4664.704
Wijk bij Duurstede,450410.0,128.0,23995.0,504.0,4758.0,38.6,53.1329259356903,0,0,0,0,0,0,0,3518.828125
Winterswijk,313199.0,157.0,29253.0,212.0,13813.0,33.6,140.3439113645163,2,0,0,1,0,1,0,1994.8980891719746
Woensdrecht,368491.0,140.0,22191.0,242.0,9166.0,35.0,104.81108984947977,0,0,0,0,0,0,0,2632.0785714285716
Woerden,488926.0,124.0,53244.0,601.0,8855.0,39.6,25.341003814591883,1,0,0,1,0,0,0,3942.951612903226
De Wolden,423009.0,169.0,24602.0,110.0,22439.0,38.1,118.05143409570634,0,0,0,0,0,0,0,2503.0118343195268
Wormerland,461791.0,115.0,16612.0,431.0,3851.0,37.4,22.007090372711794,0,0,0,0,0,0,0,4015.573913043478
Woudenberg,490476.0,130.0,14358.0,393.0,3652.0,38.5,53.112775590788054,0,0,0,0,0,0,0,3772.892307692308
Zaanstad,387053.0,103.0,159618.0,2165.0,7374.0,34.1,16.561476002882344,6,0,1,1,0,4,0,3757.7961165048546
Zaltbommel,452933.0,145.0,30349.0,386.0,7865.0,36.6,64.69530431729184,1,0,0,0,0,1,0,3123.6758620689657
Zandvoort,608461.0,106.0,17542.0,547.0,3208.0,37.5,14.677100098283304,1,0,0,0,0,1,0,5740.198113207547
Zeewolde,390515.0,132.0,23692.0,96.0,24711.0,36.6,47.913746884634314,0,0,0,0,0,0,0,2958.4469696969695
Zeist,545311.0,119.0,66629.0,1374.0,4850.0,40.4,41.87981316594523,1,0,0,1,0,0,0,4582.44537815126
Zevenaar,348727.0,132.0,45042.0,486.0,9262.0,33.8,101.12384196903918,1,0,0,1,0,0,0,2641.871212121212
Zoetermeer,391641.0,108.0,126998.0,3689.0,3443.0,35.5,33.29522269095023,3,0,0,1,0,2,0,3626.3055555555557
Zoeterwoude,492073.0,130.0,9443.0,446.0,2116.0,40.2,27.46205329176962,0,0,0,0,0,0,0,3785.1769230769232
Zuidplas,465092.0,125.0,46981.0,811.0,5796.0,39.6,36.5794587564619,1,0,0,0,0,1,0,3720.736
Zundert,420661.0,157.0,22518.0,187.0,12059.0,37.0,93.23729710875517,0,0,0,0,0,0,0,2679.3694267515925
Zutphen,365571.0,118.0,48510.0,1186.0,4092.0,33.2,103.20904401847521,1,0,1,0,0,0,0,3098.0593220338983
Zwartewaterland,362612.0,147.0,23368.0,284.0,8236.0,36.0,94.66348955118384,0,0,0,0,0,0,0,2466.7482993197277
Zwijndrecht,341125.0,106.0,45018.0,2217.0,2031.0,34.4,55.75034309893619,1,0,0,0,0,1,0,3218.1603773584907
Zwolle,410024.0,110.0,132411.0,1196.0,11067.0,34.2,95.7437733561072,2,0,1,0,0,1,0,3727.490909090909
