code,station_name,type,geo_lat,geo_lng,municipality,station_code,traffic_count
EST,Elst,interchange_local_train_station,51.916942596435,5.8550000190735,Overbetuwe,EST,152.24109589041095
EMN,Emmen,express_train_station,52.790000915527,6.8994445800781,Emmen,EMN,76.72328767123288
EMNZ,Emmen Zuid,express_train_station,52.748866374691,6.8747806549072,Emmen,EMNZ,74.79452054794521
EKZ,Enkhuizen,local_train_station,52.699165344238,5.286388874054,Enkhuizen,EKZ,81.6876712328767
ES,Enschede,interchange_intercity_station,52.222499847412,6.8899998664856,Enschede,ES,237.04657534246573
ESE,Enschede De Eschmarke,local_train_station,52.221389770508,6.9511113166809,Enschede,ESE,69.14246575342464
ESK,Enschede Kennispark,local_train_station,52.23749923706,6.8388891220093,Enschede,ESK,80.78630136986301
EML,Ermelo,local_train_station,52.301666259766,5.6147222518921,Ermelo,EML,71.89863013698631
ETN,Etten-Leur,intercity_station,51.57500076294,4.6358332633972,Etten-Leur,ETN,77.24109589041096
EGH,Eygelshoven,local_train_station,50.890556335449,6.0450000762939,Kerkrade,EGH,70.65205479452054
EGHM,Eygelshoven Markt,local_train_station,50.896049819644,6.0602474212646,Kerkrade,EGHM,32.82739726027397
FWD,Feanwâlden,local_train_station,53.2351834,5.9886615,Dantumadiel,FWD,114.0082191780822
FN,Franeker,local_train_station,53.1824488,5.5483094,Waadhoeke,FN,64.12328767123287
GDR,Gaanderen,local_train_station,51.93074,6.3486,Doetinchem,GDR,69.80821917808218
GDM,Geldermalsen,interchange_local_train_station,51.88301,5.27127,West Betuwe,GDM,241.43287671232875
GP,Geldrop,interchange_local_train_station,51.419723510742,5.5505557060242,Geldrop-Mierlo,GP,59.07123287671232
GLN,Geleen Oost,local_train_station,50.966945648193,5.8430557250977,Sittard-Geleen,GLN,49.410958904109584
LUT,Geleen-Lutterade,local_train_station,50.975555419922,5.8247222900391,Sittard-Geleen,LUT,70.25205479452055
GZ,Gilze-Rijen,local_train_station,51.583610534668,4.9261112213135,Gilze en Rijen,GZ,63.35342465753425
GBR,Glanerbrug,local_train_station,52.218612670898,6.9744443893433,Enschede,GBR,69.14246575342464
GS,Goes,local_train_station,51.498054504395,3.8905556201935,Goes,GS,114.51780821917808
GO,Goor,local_train_station,52.230278015137,6.5844445228577,Hof van Twente,GO,63.27671232876712
GR,Gorinchem,interchange_local_train_station,51.833889007568,4.9683332443237,Gorinchem,GR,113.02465753424659
GD,Gouda,interchange_intercity_station,52.017501831055,4.7044444084167,Gouda,GD,472.03013698630144
GDG,Gouda Goverwelle,local_train_station,52.014999389648,4.7408332824707,Gouda,GDG,165.8876712328767
GBG,Gramsbergen,local_train_station,52.60916519165,6.6758332252502,Hardenberg,GBG,44.04109589041096
GK,Grijpskerk,local_train_station,53.255740325573,6.3097786903381,Westerkwartier,GK,61.739726027397246
GN,Groningen,interchange_intercity_station,53.210556030273,6.5647220611572,Groningen,GN,547.0493150684931
GERP,Groningen Europapark,local_train_station,53.20480027,6.5854178,Groningen,GERP,217.9945205479452
GNN,Groningen Noord,local_train_station,53.2301469,6.5563172,Groningen,GNN,127.64657534246575
GW,Grou-Jirnsum,local_train_station,53.088890075684,5.8225002288818,Leeuwarden,GW,61.27945205479452
HLM,Haarlem,interchange_intercity_station,52.38777923584,4.6383333206177,Haarlem,HLM,367.3479452054794
HLMS,Haarlem Spaarnwoude,local_train_station,52.382778167725,4.6730556488037,Haarlem,HLMS,152.37808219178083
HWZB,Halfweg-Zwanenburg,local_train_station,52.385935,4.747165,Haarlemmermeer,HWZB,152.46575342465752
HDB,Hardenberg,express_train_station,52.572776794434,6.6286110877991,Hardenberg,HDB,126.74246575342465
HD,Harderwijk,interchange_local_train_station,52.337501525879,5.619722366333,Harderwijk,HD,72.93972602739726
HBZM,Hardinxveld Blauwe Zoom,local_train_station,51.82944,4.81556,Hardinxveld-Giessendam,HBZM,64.74794520547945
GND,Hardinxveld-Giessendam,local_train_station,51.830554962158,4.8358335494995,Hardinxveld-Giessendam,GND,112.87397260273973
HRN,Haren,local_train_station,53.176109313965,6.6172223091125,Groningen,HRN,75.9917808219178
HLG,Harlingen,local_train_station,53.1704205,5.4251932,Harlingen,HLG,64.26301369863013
HLGH,Harlingen Haven,local_train_station,53.174917,5.4112885,Harlingen,HLGH,64.26301369863013
HK,Heemskerk,local_train_station,52.495277404785,4.6869444847107,Heemskerk,HK,76.67397260273972
HAD,Heemstede-Aerdenhout,intercity_station,52.35916519165,4.6066665649414,Heemstede,HAD,178.35342465753425
HR,Heerenveen,intercity_station,52.961387634277,5.9141664505005,Heerenveen,HR,127.38904109589039
HRY,Heerenveen IJsstadion,,52.935276031494,5.9438886642456,Heerenveen,HRY,0.02191780821917808
HWD,Heerhugowaard,interchange_local_train_station,52.669723510742,4.8227777481079,Dijk en Waard,HWD,159.3835616438356
HRL,Heerlen,interchange_intercity_station,50.89083480835,5.9749999046326,Heerlen,HRL,276.86301369863014
HRLW,Heerlen Woonboulevard,local_train_station,50.896667,5.952222,Heerlen,HRLW,72.98630136986301
HZE,Heeze,local_train_station,51.384998321533,5.5694446563721,Heeze-Leende,HZE,59.07397260273972
HLO,Heiloo,local_train_station,52.599445343018,4.7005553245544,Heiloo,HLO,160.02465753424656
HNO,Heino,local_train_station,52.427223205566,6.2211112976074,Raalte,HNO,67.186301369863
HM,Helmond,interchange_intercity_station,51.475555419922,5.6619443893433,Helmond,HM,147.21369863013697
HMH,Helmond 't Hout,local_train_station,51.46794,5.63085,Helmond,HMH,59.57260273972604
HMBV,Helmond Brandevoort,local_train_station,51.462223052979,5.6072220802307,Helmond,HMBV,59.58082191780823
HMBH,Helmond Brouwhuis,local_train_station,51.47068,5.70177,Helmond,HMBH,59.8109589041096
HMN,Hemmen-Dodewaard,local_train_station,51.9222129,5.6737254,Neder-Betuwe,HMN,52.945205479452056
HGL,Hengelo,interchange_intercity_station,52.261665344238,6.7938890457153,Hengelo,HGL,287.5424657534247
HGLG,Hengelo Gezondheidspark,local_train_station,52.261667,6.767778,Hengelo,HGLG,62.030136986301365
HGLO,Hengelo Oost,local_train_station,52.268890380859,6.8194446563721,Hengelo,HGLO,65.6082191780822
HIL,Hillegom,local_train_station,52.302501678467,4.5655555725098,Hillegom,HIL,80.17808219178085
HVS,Hilversum,interchange_intercity_station,52.225833892822,5.1819443702698,Hilversum,HVS,335.3863013698631
HVSM,Hilversum Media Park,local_train_station,52.238056182861,5.1738886833191,Hilversum,HVSM,116.43013698630136
HVSP,Hilversum Sportpark,local_train_station,52.216110229492,5.1872220039368,Hilversum,HVSP,113.87123287671233
HNP,Hindeloopen,local_train_station,52.9464903,5.423063,Súdwest-Fryslân,HNP,44.42465753424658
HB,Hoensbroek,local_train_station,50.905555725098,5.9305553436279,Heerlen,HB,49.40821917808219
HVL,Hoevelaken,local_train_station,52.16652,5.45718,Amersfoort,HVL,113.04383561643836
HOR,Hollandsche Rading,local_train_station,52.17777633667,5.1791667938232,De Bilt,HOR,78.73972602739725
HON,Holten,local_train_station,52.283889770508,6.42027759552,Rijssen-Holten,HON,63.9068493150685
HFD,Hoofddorp,local_train_station,52.293334960938,4.7005553245544,Haarlemmermeer,HFD,278.04109589041093
HGV,Hoogeveen,local_train_station,52.733890533447,6.4736108779907,Hoogeveen,HGV,72.3945205479452
HGZ,Hoogezand-Sappemeer,interchange_local_train_station,53.159818131676,6.7707538604736,Midden-Groningen,HGZ,125.85479452054793
HKS,Hoogkarspel,local_train_station,52.69055557251,5.1838889122009,Drechterland,HKS,83.37534246575342
HN,Hoorn,interchange_intercity_station,52.644721984863,5.0555553436279,Hoorn,HN,212.27671232876708
HNK,Hoorn Kersenboogerd,local_train_station,52.653610229492,5.0855555534363,Hoorn,HNK,120.98904109589041
HRT,Horst-Sevenum,local_train_station,51.426387786865,6.0422220230103,Horst aan de Maas,HRT,84.67671232876711
HTN,Houten,interchange_local_train_station,52.03402,5.16821,Houten,HTN,171.02191780821917
HTNC,Houten Castellum,local_train_station,52.01701,5.17949,Houten,HTNC,166.50684931506848
SGL,Houthem-St. Gerlach,local_train_station,50.873332977295,5.7972221374512,Valkenburg aan de Geul,SGL,72.6986301369863
HDG,Hurdegaryp,local_train_station,53.2187783,5.934543,Tytsjerksteradiel,HDG,62.03287671232876
IJT,IJlst,local_train_station,53.0146614,5.6160801,Súdwest-Fryslân,IJT,42.12328767123287
KPN,Kampen,local_train_station,52.559722900391,5.9216666221619,Kampen,KPN,69.32876712328766
