municipality,m2_price,population,pop_density,size,avg_income,homes_per_capita,unemp_rate,net_labor_participation,multy_family,distance_to_urban_center,station_count,traffic,has_station
Boekel,2605.0175438596493,11163.0,324.0,3450.0,38.7,0.40472991131416286,2.7,76.8,13.014608233731739,25.935864223604735,0,,0
Borger-Odoorn,2300.0333333333333,25919.0,94.0,27469.0,34.1,0.44106639916663454,2.9,70.5,7.995101469559132,40.42159296902862,0,,0
Borne,2648.2587412587413,24524.0,944.0,2599.0,36.6,0.42028217256565,2.9,75.5,14.786067720966333,101.64550126327033,1,79.0,1
Borsele,2293.183673469388,23159.0,164.0,14147.0,36.4,0.4324452696575845,2.6,75.0,7.728407388916625,70.2503052284768,0,,0
Boxtel,3161.2836879432625,33748.0,489.0,6901.0,37.1,0.4358480502548299,3.0,74.3,26.5211775103678,20.08853592815738,1,127.0,1
Breda,3737.264957264957,186438.0,1483.0,12569.0,36.1,0.46517877256782414,3.7,74.2,39.95410887036333,42.41799838918203,2,163.5,1
Bronckhorst,2767.7345679012346,36277.0,128.0,28353.0,38.1,0.45133280039694573,2.6,72.5,17.058572039333047,81.05393147066654,1,62.0,1
Brummen,2915.091603053435,21105.0,252.0,8363.0,36.5,0.4570954750059228,2.9,72.8,12.293977402301232,68.12577000167342,2,60.0,1
Brunssum,2032.808,27682.0,1606.0,1724.0,30.9,0.5242395780651687,3.7,66.5,30.492006615214994,22.719891210843407,0,,0
Bunnik,4077.607407407407,16026.0,434.0,3693.0,41.2,0.4220641457631349,2.8,76.6,18.125369603784744,8.350846398667738,1,86.0,1
Bunschoten,3534.064,22500.0,740.0,3039.0,37.9,0.39222222222222225,2.7,77.6,21.439093484419264,23.119716140514264,0,,0
Buren,3097.4493670886077,27725.0,208.0,13360.0,39.0,0.4012623985572588,2.7,75.0,7.721348314606742,25.682227296083934,0,,0
Capelle aan den IJssel,3549.4077669902913,67552.0,4777.0,1414.0,34.5,0.4661297963050687,4.1,71.2,55.50050813008131,7.286224080795859,1,78.0,1
Castricum,3970.1147540983607,36345.0,732.0,4964.0,41.1,0.44969046636401155,2.8,74.1,22.90748898678414,25.858057866268293,1,195.0,1
Coevorden,2444.4444444444443,35700.0,121.0,29611.0,33.8,0.4452380952380952,3.0,69.4,13.324944951242529,54.42501384610618,2,63.5,1
Cranendonck,2575.99358974359,20851.0,273.0,7650.0,36.6,0.4383003213275143,2.9,71.2,9.508698982383192,17.817330516095986,1,59.0,1
Culemborg,3560.2916666666665,29729.0,1016.0,2927.0,36.4,0.43805711594739144,3.2,74.1,25.332104737771633,17.172261826082536,1,168.0,1
Dalfsen,2889.8662420382166,29612.0,179.0,16502.0,36.7,0.41645278940969876,2.6,76.4,13.712293220888744,80.72179012927899,1,82.0,1
Dantumadiel,2260.2312925170068,19194.0,227.0,8460.0,31.6,0.43049911430655413,3.1,71.8,9.778530799951591,39.37511952509529,2,87.5,1
Delft,4411.102272727273,106086.0,4681.0,2266.0,29.7,0.4978602266086006,4.6,72.0,67.1008785216601,9.100448748682293,2,234.0,1
Deurne,2544.0925925925926,32977.0,282.0,11676.0,35.5,0.4339994541650241,2.9,74.0,14.721911682504194,25.315646570185585,1,144.0,1
Deventer,3253.6814159292035,102781.0,787.0,13056.0,33.3,0.4574289022290112,3.6,73.3,32.8384558119749,78.45215920339288,2,162.0,1
Diemen,5674.8,32785.0,2744.0,1195.0,35.1,0.4867774897056581,4.2,73.9,64.1017607619525,6.533264237681883,2,131.0,1
Dijk en Waard,3376.361344537815,88985.0,1438.0,6190.0,36.5,0.4209585885261561,3.1,74.9,21.22587362182653,35.3718308828878,1,159.0,1
Dinkelland,2403.109090909091,26743.0,152.0,17572.0,38.4,0.4182776801405975,2.6,75.2,14.920436259610225,97.00581260103611,0,,0
Doesburg,2966.7049180327867,11081.0,959.0,1156.0,32.8,0.48551574767620254,3.5,67.4,22.230483271375466,70.60775366286177,0,,0
Doetinchem,2908.9761904761904,59195.0,749.0,7904.0,34.1,0.45334910043077964,3.2,72.8,25.05589506632881,80.94454146274435,4,97.75,1
Dongen,2996.485294117647,27200.0,930.0,2923.0,36.5,0.4313235294117647,2.8,75.7,16.331401295601772,42.26634997813468,0,,0
Dordrecht,3240.875,121434.0,1566.0,7756.0,34.3,0.4660638700858079,3.7,72.0,44.262845430772494,22.415221293613723,3,238.0,1
Drechterland,3037.4794520547944,20385.0,346.0,5888.0,38.1,0.42197694383124845,2.8,74.3,11.880957916763544,37.41655465483232,1,83.0,1
Drimmelen,2827.0699300699303,27994.0,295.0,9505.0,37.6,0.43516467814531684,2.7,75.0,13.257264816943032,31.58469431223559,0,,0
