municipality,m2_price,population,pop_density,size,avg_income,homes_per_capita,unemp_rate,net_labor_participation,multy_family,distance_to_urban_center,station_count,traffic,has_station
Moerdijk,2821.2406015037595,37711.0,237.0,15917.0,36.3,0.44504256052610647,2.9,74.2,13.757969373771079,29.84732100701779,2,103.0,1
Molenlanden,2934.0072463768115,45158.0,249.0,18157.0,39.6,0.3953230878249701,2.6,77.1,12.24512659645978,25.689880614596568,1,62.0,1
Montferland,2450.404109589041,36882.0,349.0,10570.0,34.5,0.4399436039260344,2.9,72.1,17.977320350055468,75.52026369644473,1,107.0,1
Montfoort,3625.030303030303,13929.0,371.0,3758.0,39.8,0.41632565151841483,2.7,77.6,15.537161579582687,13.137722592695617,0,,0
Mook en Middelaar,2923.275641025641,8043.0,463.0,1739.0,42.1,0.45741638692030334,2.8,71.4,14.297363413971187,47.07049868493396,1,90.0,1
Neder-Betuwe,2852.152777777778,25448.0,424.0,5999.0,35.3,0.3583385727758566,2.8,76.4,8.729027305625618,37.26235468960243,3,53.0,1
Nederweert,2236.925714285714,17499.0,175.0,9990.0,36.0,0.43751071489799415,2.8,73.5,12.343260188087775,25.883815805436857,0,,0
Nieuwegein,3708.6923076923076,65426.0,2794.0,2342.0,34.9,0.4655030110353682,3.5,73.0,41.348174415550304,6.923263859142889,0,,0
Nieuwkoop,3373.7841726618703,29463.0,375.0,7846.0,40.1,0.4013169059498354,2.7,76.3,13.185047361299052,23.362936324363194,0,,0
Nijkerk,3679.769230769231,44975.0,649.0,6932.0,38.5,0.4018232351306281,2.7,76.5,16.99867197875166,28.25028837468475,1,72.0,1
Nijmegen,3538.75,182480.0,3456.0,5281.0,30.3,0.46387549320473476,4.0,72.4,45.89594556280125,53.02194110833715,5,163.8,1
Nissewaard,3193.504761904762,86833.0,1184.0,7331.0,34.5,0.4610459157232849,3.6,71.0,32.18264475196083,16.672649197174273,0,,0
Noardeast-Fryslân,1755.3522012578617,45812.0,121.0,37922.0,31.7,0.4576311883349341,3.3,72.5,11.3093250655855,38.467072015058854,0,,0
Noord-Beveland,2476.4094488188975,7857.0,91.0,8600.0,37.0,0.6027745959017436,2.7,69.7,9.881756756756758,62.22222062161065,0,,0
Noordenveld,2688.374149659864,31591.0,159.0,19901.0,36.0,0.47247633819758794,2.9,71.7,14.344097547902987,16.088733058381163,0,,0
Noordoostpolder,2055.7888198757764,49729.0,109.0,45809.0,34.3,0.4173621025960707,3.2,75.2,13.476270778125754,69.88376707216209,0,,0
Noordwijk,4650.25,45179.0,774.0,5834.0,40.1,0.4594391199451072,2.9,75.1,34.7304523775112,25.553846872551084,0,,0
"Nuenen, Gerwen en Nederwetten",3361.8940397350993,24015.0,714.0,3365.0,41.3,0.4443889235894233,2.8,74.0,13.783733133433284,8.796026940638091,0,,0
Nunspeet,3482.223880597015,28731.0,223.0,12873.0,36.0,0.3988026869931433,2.7,75.0,17.81288182928958,53.06974515605548,1,75.0,1
Oegstgeest,4301.457364341085,25746.0,3530.0,729.0,47.1,0.4327274139672182,3.1,75.4,34.82631720671394,17.468628875579885,0,,0
Oirschot,2801.314465408805,19217.0,189.0,10179.0,39.6,0.4298277566737784,2.6,75.1,16.46489104116223,14.286342052252412,0,,0
Oisterwijk,3656.4333333333334,32941.0,411.0,8011.0,41.6,0.43523268874654686,2.7,74.4,19.292739066750368,23.627736071552523,1,62.0,1
Oldambt,1818.9109589041095,39044.0,172.0,22657.0,30.7,0.48593894068230714,3.6,68.1,18.58430401096295,32.685131923274625,3,64.33333333333333,1
Oldebroek,2892.3571428571427,24264.0,248.0,9766.0,34.9,0.3954418067919552,2.6,75.3,15.101615424700366,68.80970183488174,1,72.0,1
Oldenzaal,2710.376923076923,31925.0,1481.0,2155.0,34.6,0.4644009397024276,3.0,73.9,23.330635370295425,103.89246414586624,1,97.0,1
Olst-Wijhe,2704.6206896551726,18682.0,164.0,11366.0,36.2,0.42714912750240874,2.8,74.6,14.949874686716791,76.63017737360134,2,75.5,1
Ommen,2764.4333333333334,18955.0,105.0,17985.0,35.9,0.4091268794513321,2.9,74.3,18.052869116698904,78.76326074440088,1,82.0,1
Oost Gelre,2209.434210526316,29846.0,271.0,10993.0,36.1,0.44002546404878373,2.6,75.3,16.508033198812154,99.99973999676662,1,62.0,1
Oosterhout,3022.031496062992,57425.0,804.0,7143.0,36.1,0.4515280801044841,3.2,72.8,25.828223224960468,41.50143167165847,0,,0
Ooststellingwerf,2746.201612903226,25837.0,116.0,22330.0,32.9,0.44385958122072994,3.2,71.0,10.04534356470178,32.43451207946689,0,,0
Oostzaan,4496.8421052631575,9720.0,841.0,1156.0,38.8,0.42633744855967076,2.9,74.8,17.422779922779924,9.611928170641482,0,,0
Opmeer,2859.992957746479,12180.0,294.0,4148.0,37.2,0.41288998357963874,2.7,75.1,15.370849075362894,38.72883840188988,0,,0
Opsterland,2201.395061728395,30054.0,134.0,22440.0,34.7,0.44313568909296597,3.0,73.3,13.951043700255294,35.66035970627691,0,,0
Oss,2899.7925925925924,94437.0,583.0,16201.0,35.0,0.4424007539417813,3.2,73.3,22.858373824170037,40.11381518375149,3,93.0,1
Oude IJsselstreek,2251.9668874172185,39613.0,291.0,13607.0,33.5,0.44558604498523213,3.0,72.0,15.596850036825108,84.5843661444703,2,69.0,1
Ouder-Amstel,5167.795081967213,14276.0,596.0,2395.0,43.3,0.44774446623704117,3.5,74.1,41.23904881101377,8.828575166880649,1,293.0,1
Oudewater,3306.5073529411766,10232.0,263.0,3890.0,40.1,0.42933932759968724,2.7,75.7,19.462781698156157,19.037335754109193,0,,0
Overbetuwe,3164.007299270073,48707.0,447.0,10903.0,37.1,0.4185845976964297,2.6,76.1,13.336276240926034,48.665527100888575,2,102.5,1
Papendrecht,3244.0714285714284,32277.0,3428.0,941.0,35.9,0.4526133159835177,3.2,73.9,33.6025737559039,18.518623622242924,0,,0
Peel en Maas,2308.285714285714,45276.0,284.0,15935.0,35.4,0.4179035250463822,2.8,75.4,14.195867026055705,38.1570974637331,0,,0
Pekela,1467.7278911564626,12404.0,253.0,4904.0,29.5,0.4665430506288294,3.4,69.8,11.90599619837567,31.801739349707475,0,,0
Pijnacker-Nootdorp,4042.1908396946565,57672.0,1564.0,3687.0,41.9,0.389287695935636,3.0,78.5,23.85194423410984,10.175520243583476,0,,0
Purmerend,3807.590909090909,93992.0,1004.0,9361.0,35.4,0.45604945101710787,3.4,73.6,33.35121894319375,19.600957423799645,3,65.33333333333333,1
Putten,3862.823529411765,24904.0,292.0,8521.0,37.7,0.41033568904593637,2.6,75.1,15.891965945787259,35.919104389703115,1,72.0,1
Raalte,2829.3489932885905,38500.0,225.0,17097.0,35.5,0.42597402597402595,2.7,75.6,14.20731707317073,85.43716183017457,2,74.5,1
Reimerswaal,2439.5984251968503,23255.0,229.0,10176.0,34.7,0.40215007525263385,2.8,76.3,13.72968349016253,58.99891004012546,3,80.0,1
Renkum,3497.1615384615384,31461.0,685.0,4596.0,38.9,0.4800228854772576,3.1,70.9,29.90994570255595,46.69117191744132,2,60.0,1
Renswoude,2794.22,5747.0,313.0,1839.0,59.4,0.38141639116060555,2.6,79.3,13.594890510948904,28.38688245459139,0,,0
Reusel-De Mierden,2656.4573170731705,13542.0,174.0,7781.0,37.2,0.4240141781125388,2.7,74.0,12.24312086381052,22.378193668036182,0,,0
Rheden,3281.875,43570.0,533.0,8177.0,34.6,0.4894881799403259,3.3,70.6,26.15463965864866,63.89212539638952,3,90.66666666666667,1
Rhenen,3792.730769230769,20329.0,484.0,4202.0,37.8,0.4116287077573909,3.1,74.6,21.044455066921604,32.52672366924759,1,73.0,1
Ridderkerk,3262.451923076923,47477.0,2022.0,2348.0,34.9,0.4547254460054342,3.4,72.8,43.915883088609945,10.164743756874676,0,,0
Rijssen-Holten,2853.124087591241,38493.0,409.0,9412.0,37.6,0.38968124074507055,2.7,77.7,20.979999999999997,92.30039683656341,2,68.5,1
Rijswijk,3777.392156862745,57997.0,4150.0,1398.0,35.4,0.4851457834025898,3.8,71.1,70.08920638305433,4.245510980140289,1,133.0,1
Roerdalen,2077.3584905660377,20702.0,235.0,8821.0,34.9,0.46995459375905707,3.0,68.8,9.723507040805838,40.844091845504515,0,,0
Roermond,2690.1328125,59981.0,989.0,6064.0,32.8,0.4862206365349027,3.8,68.9,33.47277465368263,45.057149057831424,2,172.5,1
De Ronde Venen,3809.0522388059703,45572.0,457.0,9968.0,43.5,0.4141139296058984,2.9,74.8,20.575455701568462,15.81893265970389,1,99.0,1
Roosendaal,2807.27868852459,77613.0,729.0,10650.0,33.8,0.4626029144602064,3.6,70.6,25.376002673796794,45.90850886825227,1,291.0,1
Rotterdam,4262.8,663900.0,3040.0,21842.0,31.8,0.48393131495707187,5.3,69.4,74.62291693901308,11.814350387144687,7,210.71428571428572,1
Rozendaal,3813.103092783505,1754.0,63.0,2790.0,81.4,0.40250855188141393,2.4,76.8,1.9830028328611897,58.10335294470738,0,,0
Rucphen,2838.46357615894,23636.0,367.0,6438.0,34.7,0.43230665087155185,2.8,70.1,8.641612840086124,44.95295185823362,0,,0
Schagen,2544.0,47450.0,282.0,16799.0,36.6,0.4461327713382508,2.9,73.1,17.02017100477113,47.533352076873726,1,87.0,1
Scherpenzeel,4643.03125,10386.0,753.0,1379.0,37.4,0.4090121317157712,2.7,77.6,15.630885122410545,26.01057141501953,0,,0
Schiedam,3250.09375,80628.0,4528.0,1781.0,32.7,0.47240412759835293,4.1,72.0,67.93037359867678,6.39514162123994,1,293.0,1
Schiermonnikoog,3243.96694214876,982.0,23.0,4293.0,42.4,0.6232179226069247,2.9,71.9,26.96078431372549,37.68582433433771,0,,0
Schouwen-Duiveland,3158.6814814814816,34561.0,151.0,22860.0,37.0,0.48864326842394606,2.4,72.2,10.474893415442917,47.631823717214075,0,,0
Simpelveld,2039.42,10396.0,649.0,1603.0,33.5,0.5016352443247403,2.9,70.0,24.199424736337487,20.973500893399542,0,,0
Sint-Michielsgestel,3175.20625,30135.0,516.0,5835.0,40.3,0.4170565787290526,2.6,75.3,13.812858052196052,26.723764027420565,0,,0
Sittard-Geleen,2355.196850393701,92234.0,1173.0,7861.0,32.7,0.5096927380358653,3.5,67.3,32.0733445363851,19.607438743904815,3,129.33333333333334,1
Sliedrecht,3316.5904761904762,26184.0,2038.0,1285.0,33.9,0.42823861900397187,3.1,75.0,38.464282529207175,22.83938977504246,2,112.0,1
Sluis,2506.6496350364964,23243.0,83.0,27860.0,34.3,0.5974702060835521,3.0,68.1,14.949233095701015,93.79617536337645,0,,0
Smallingerland,2379.312977099237,56098.0,479.0,11717.0,32.2,0.4677706870120147,3.8,71.8,21.797949773255592,37.07820932657251,0,,0
Soest,4099.495867768595,47439.0,1026.0,4625.0,39.5,0.4469318493222876,3.2,72.9,35.27497405905103,13.89385108831,3,59.0,1
Someren,2504.432926829268,20061.0,250.0,8010.0,37.1,0.42281042819400827,2.8,75.6,14.135817024286727,16.641205836962154,0,,0
Son en Breugel,3455.2565789473683,18010.0,694.0,2595.0,42.0,0.42376457523598,2.8,76.9,13.325471698113208,10.486114530587969,0,,0
Stadskanaal,2173.1967213114754,32135.0,273.0,11763.0,30.5,0.47228878170219385,3.4,69.2,21.46669302233643,38.14826022804764,0,,0
Staphorst,1634.4366197183099,17628.0,132.0,13394.0,37.0,0.3459836623553438,2.7,78.6,16.215773077553695,69.4715920347327,0,,0
Stede Broec,2889.128,22138.0,1529.0,1448.0,34.6,0.42632577468606014,3.0,74.1,10.923924560288196,43.069916020516196,2,81.5,1
Steenbergen,2523.274074074074,24610.0,168.0,14650.0,34.4,0.4339292970337261,2.9,73.6,14.008802322314823,37.830144619053385,0,,0
Steenwijkerland,2416.860927152318,45376.0,157.0,28831.0,34.4,0.4510974964739069,3.1,73.4,15.252332795935317,62.8585445882284,1,125.0,1
Stein,2162.8802816901407,24772.0,1184.0,2092.0,34.2,0.4772727272727273,3.0,69.1,17.711240801826946,13.872563664450837,1,70.0,1
Stichtse Vecht,3827.5702479338843,65771.0,685.0,9604.0,41.0,0.4394185887397181,3.0,74.4,25.583889830801702,12.096967660239269,2,133.5,1
Súdwest-Fryslân,2206.53642384106,90883.0,174.0,52270.0,33.6,0.4716503636543688,3.5,72.6,18.70990318441619,71.26208038113226,7,49.142857142857146,1
Terneuzen,2217.0714285714284,54993.0,220.0,25013.0,33.9,0.49849980906660846,2.9,69.9,18.69482746042168,83.13789965429285,0,,0
Terschelling,3790.058394160584,4928.0,57.0,8721.0,34.5,0.47037337662337664,2.8,74.3,22.303710094909405,84.57391586480622,0,,0
Texel,3480.728,13979.0,86.0,16226.0,35.2,0.4989627298089992,2.8,71.0,21.89247311827957,79.47981422625307,0,,0
Teylingen,4022.344537815126,38510.0,1360.0,2832.0,41.3,0.4325370033757466,2.9,77.1,25.778951792039383,21.491971676162954,2,97.5,1
Tholen,2231.4296296296297,26825.0,183.0,14672.0,34.5,0.4198695246971109,2.8,74.5,10.556690047056733,45.51628400884161,0,,0
Tiel,3197.4347826086955,42604.0,1299.0,3280.0,33.0,0.4350295746878227,3.8,72.9,26.351570087406927,30.130993315419243,2,102.5,1
Tilburg,3346.765765765766,227707.0,1809.0,12589.0,31.4,0.46227827866512666,4.0,73.2,37.28720170238638,32.068954140765875,3,154.33333333333334,1
Tubbergen,2085.0102040816328,21408.0,146.0,14700.0,37.6,0.40970665171898357,2.6,75.4,24.478394709839243,90.99710156479175,0,,0
Twenterand,2284.858108108108,33867.0,319.0,10614.0,33.1,0.4138541943484808,2.9,74.1,14.982876712328766,85.75193881737513,2,48.5,1
Tynaarlo,3025.404109589041,34592.0,242.0,14288.0,39.1,0.42538737280296024,2.8,73.2,12.028542303771662,13.913956236567284,0,,0
Tytsjerksteradiel,2171.1456953642382,32408.0,218.0,14863.0,33.8,0.4385028388052333,3.1,73.2,11.969601013299556,40.151409467567866,1,62.0,1
Uitgeest,3499.4552845528456,13472.0,703.0,1916.0,38.9,0.4225059382422803,2.9,76.7,20.2389318341532,21.136880700260246,1,182.0,1
Uithoorn,4209.589743589743,31442.0,1735.0,1812.0,38.1,0.4316519305387698,3.3,76.6,28.256704980842912,16.512634028066245,0,,0
Urk,2705.6484375,21829.0,1661.0,1314.0,34.9,0.3190251500297769,2.7,81.3,16.800689259046525,58.753378397494195,0,,0
Utrecht,4993.747368421053,367947.0,3924.0,9377.0,34.9,0.44952126257314234,4.0,77.3,58.11064087061669,3.1724436648173664,9,250.88888888888889,1
Utrechtse Heuvelrug,4280.318181818182,50429.0,382.0,13202.0,42.3,0.43865632869975607,3.1,73.4,25.030513991230052,19.297531543065066,2,128.0,1
Vaals,2757.3739837398375,10190.0,427.0,2389.0,30.6,0.575269872423945,4.6,59.5,47.765267826680315,21.911466523385954,0,,0
Valkenburg aan de Geul,2601.034722222222,16423.0,447.0,3673.0,35.8,0.5095293186384948,3.0,69.2,35.93451242829828,9.355331067701929,2,88.5,1
Valkenswaard,3397.1908396946565,31527.0,574.0,5491.0,35.8,0.47835188885717006,3.1,72.2,24.753000464160202,11.09407515433205,0,,0
Veendam,2176.516129032258,27616.0,364.0,7593.0,31.3,0.4712123406720742,3.6,70.6,21.37862137862138,25.46398617108893,1,62.0,1
Veenendaal,3540.990990990991,68525.0,3528.0,1942.0,35.0,0.42711419190076616,3.3,74.8,39.61664616646166,30.59629128380962,2,73.0,1
Veere,3216.6,22045.0,166.0,13299.0,38.4,0.5019732365615786,2.4,71.7,12.533887583589372,76.63856371492871,0,,0
Veldhoven,3629.582089552239,46417.0,1465.0,3168.0,38.5,0.4394726070189801,3.0,74.4,21.33437913623217,5.581667530561458,0,,0
Velsen,4322.57281553398,68790.0,1528.0,4503.0,35.8,0.46261084459950574,3.3,73.6,39.76683530779625,20.670400647708398,3,77.33333333333333,1
Venlo,2465.9922480620153,103328.0,832.0,12416.0,32.2,0.4698919944255187,3.7,70.8,31.726154923485677,48.36477515423293,3,146.0,1
Venray,2445.046357615894,44628.0,273.0,16318.0,34.9,0.442704131935108,3.3,73.1,18.687047628688568,36.21152904733802,1,90.0,1
Vijfheerenlanden,3241.8110236220473,60052.0,411.0,14628.0,36.5,0.4165223472990075,3.0,75.1,21.085035781393675,17.7098537364032,1,62.0,1
Vlaardingen,3384.946808510638,75079.0,3214.0,2336.0,32.7,0.48369051265999813,4.0,71.7,62.255266418835184,10.302973934756183,0,,0
Vlieland,4746.927927927928,1291.0,31.0,4184.0,42.7,0.4957397366382649,3.0,76.1,30.312499999999996,98.82711566595324,0,,0
Vlissingen,2586.0377358490564,45150.0,1314.0,3437.0,31.3,0.5147951273532669,3.4,70.4,36.95736350729252,78.87982872778753,2,90.5,1
Voerendaal,2331.35,12405.0,394.0,3151.0,36.7,0.4712615880693269,2.8,71.4,12.692439274717756,15.921794371921235,3,73.0,1
Voorne aan Zee,3492.967741935484,73945.0,607.0,12177.0,38.9,0.4528771384136858,3.1,72.2,23.557692307692307,24.295916214199636,0,,0
Voorschoten,4420.140495867769,25665.0,2309.0,1111.0,42.2,0.45088642119618155,3.1,73.6,36.10438990667127,11.11762761351441,2,130.0,1
Voorst,3244.678082191781,25215.0,205.0,12293.0,37.9,0.43378941106484237,2.6,73.8,16.456390565002742,68.31677581538072,2,56.5,1
Vught,4209.298611111111,32113.0,535.0,6002.0,44.1,0.43446579266963536,2.7,75.5,23.04329128440367,29.53656196130281,1,63.0,1
Waadhoeke,1745.1847133757963,46718.0,164.0,28542.0,32.5,0.4596943362301468,3.3,72.4,10.337120506612033,63.56954483174513,3,56.333333333333336,1
Waalre,3748.53642384106,17980.0,803.0,2238.0,44.1,0.4482202447163515,3.0,74.5,17.198163543864002,3.9908012392178263,0,,0
Waalwijk,3209.918699186992,49952.0,774.0,6454.0,34.3,0.4520339525944907,3.2,74.4,24.95128432240921,43.23917141960564,0,,0
Waddinxveen,3298.6,32601.0,1175.0,2775.0,36.9,0.4112757277384129,2.9,76.9,30.921837708830544,17.293340561696322,4,109.5,1
Wageningen,4228.0,40960.0,1347.0,3042.0,27.4,0.453125,4.4,73.3,52.279094827586206,39.400289606086545,0,,0
Wassenaar,5094.707006369426,27093.0,529.0,5118.0,56.6,0.4518141217288599,3.5,70.0,28.200310432154236,9.033306737323949,0,,0
Waterland,3883.6015625,17609.0,339.0,5199.0,41.3,0.425634618660912,2.9,72.9,16.03735823882588,12.063064433676736,0,,0
Weert,2607.764705882353,50872.0,488.0,10425.0,34.8,0.46383079100487495,3.3,71.6,26.868960840820478,26.403462184890326,1,197.0,1
West Betuwe,3158.191489361702,52720.0,244.0,21593.0,39.0,0.40680955993930196,2.8,76.0,10.243856949689933,26.220310786103127,2,152.0,1
West Maas en Waal,2585.294478527607,20065.0,263.0,7619.0,36.6,0.4239720907052081,2.7,74.4,14.28235570706477,36.96785710873008,0,,0
Westerkwartier,2082.9939393939394,64946.0,179.0,36263.0,34.9,0.4298032211375604,2.9,74.2,9.97707243677008,15.27553850235674,2,73.5,1
Westerveld,2290.518918918919,19860.0,71.0,27865.0,36.6,0.44093655589123865,2.7,69.1,9.992006394884093,46.10294363857431,0,,0
Westervoort,3053.72268907563,15114.0,2155.0,701.0,33.4,0.4476644170967315,3.3,71.6,13.287023352054389,59.99767974441769,1,107.0,1
Westerwolde,1998.5448717948718,26537.0,96.0,27577.0,31.8,0.45204808380751405,3.2,66.0,14.888296098699566,43.44495602028205,0,,0
Westland,3687.7804878048782,114887.0,1423.0,8076.0,37.6,0.4094719158825629,2.7,77.9,24.896371404884892,10.042969104317113,0,,0
Weststellingwerf,2521.9103448275864,26467.0,120.0,22020.0,32.5,0.4504099444591378,3.2,71.3,11.668484187568156,52.97061134150365,1,59.0,1
Wierden,2760.376712328767,24862.0,263.0,9460.0,38.4,0.4035878046818438,2.6,76.4,14.989037273270878,97.25486741500197,1,133.0,1
Wijchen,3038.7969924812032,41537.0,629.0,6604.0,36.4,0.4409803307894167,3.0,74.6,18.496478681006714,46.81130859240187,1,113.0,1
Wijdemeren,4664.704,24659.0,519.0,4754.0,45.0,0.4400421752706922,2.8,73.6,16.791079163210764,15.24465842633083,0,,0
Wijk bij Duurstede,3518.828125,23995.0,504.0,4758.0,38.6,0.43146488851844134,2.8,74.4,18.670916642519074,17.47867401386712,0,,0
Winterswijk,1994.8980891719746,29253.0,212.0,13813.0,33.6,0.45721806310463886,3.1,72.1,22.57196261682243,106.2300384896486,2,96.5,1
Woensdrecht,2632.0785714285716,22191.0,242.0,9166.0,35.0,0.4515344058402055,3.0,69.8,11.377245508982035,58.272076707241276,0,,0
Woerden,3942.951612903226,53244.0,601.0,8855.0,39.6,0.4276350386898054,2.9,76.9,28.833062497255042,15.304303641109165,1,278.0,1
De Wolden,2503.0118343195268,24602.0,110.0,22439.0,38.1,0.42903016014958134,2.6,73.0,13.955471340596873,59.06296301364304,0,,0
Wormerland,4015.573913043478,16612.0,431.0,3851.0,37.4,0.4301107633036359,3.1,73.7,25.22043386983905,15.34918658091546,0,,0
Woudenberg,3772.892307692308,14358.0,393.0,3652.0,38.5,0.3900961136648558,2.7,78.0,18.2467416532762,20.9096629832789,0,,0
Zaanstad,3757.7961165048546,159618.0,2165.0,7374.0,34.1,0.4398626721297097,3.6,72.3,37.328015952143566,13.908183469318493,6,125.66666666666667,1
Zaltbommel,3123.6758620689657,30349.0,386.0,7865.0,36.6,0.3989258295166233,3.0,76.2,13.347650119765426,33.331301018923895,1,92.0,1
Zandvoort,5740.198113207547,17542.0,547.0,3208.0,37.5,0.560084368943108,3.5,69.5,52.80407124681934,24.514560633536917,1,90.0,1
Zeewolde,2958.4469696969695,23692.0,96.0,24711.0,36.6,0.39481681580280265,3.0,77.2,16.206970280094076,36.23654080191348,0,,0
Zeist,4582.44537815126,66629.0,1374.0,4850.0,40.4,0.4519203349892689,3.6,73.1,45.60459632692371,9.164305970454409,1,130.0,1
Zevenaar,2641.871212121212,45042.0,486.0,9262.0,33.8,0.4591048354868789,3.2,71.7,18.090816770636877,68.49349864606046,1,148.0,1
Zoetermeer,3626.3055555555557,126998.0,3689.0,3443.0,35.5,0.4487550985054883,3.7,71.6,42.96292397045147,13.00265438308106,3,93.0,1
Zoeterwoude,3785.1769230769232,9443.0,446.0,2116.0,40.2,0.4176638780048713,2.7,76.9,27.586206896551722,15.354058212832172,0,,0
Zuidplas,3720.736,46981.0,811.0,5796.0,39.6,0.4051212192162789,2.9,76.4,21.179004886250198,12.086396993520411,1,79.0,1
Zundert,2679.3694267515925,22518.0,187.0,12059.0,37.0,0.4414246380673239,2.8,72.8,13.078470824949697,50.72173350267047,0,,0
Zutphen,3098.0593220338983,48510.0,1186.0,4092.0,33.2,0.48198309626881053,3.5,70.3,33.96775159317394,76.19381061233595,1,318.0,1
Zwartewaterland,2466.7482993197277,23368.0,284.0,8236.0,36.0,0.3935296131461828,2.7,78.0,12.820791648542846,76.4069689648078,0,,0
Zwijndrecht,3218.1603773584907,45018.0,2217.0,2031.0,34.4,0.46265938069216755,3.5,72.0,39.821394276934896,14.44209687185162,1,125.0,1
Zwolle,3727.490909090909,132411.0,1196.0,11067.0,34.2,0.45672187356035376,3.4,76.2,36.08102521703183,82.93656265882358,2,390.5,1
