municipality	avg_price	avg_surface	m2_price	closest_airport	distance_to_closest_airport
Eijsden-Margraten	401290.0	171.0	2346.7251461988303	Eindhoven	77.3005364638454
Eindhoven	404275.0	108.0	3743.287037037037	Eindhoven	5.81330071158681
Elburg	391847.0	129.0	3037.5736434108526	Schiphol	75.56513177951268
Emmen	297463.0	132.0	2253.507575757576	Schiphol	157.33115822827057
Enkhuizen	340683.0	112.0	3041.8125	Schiphol	56.8618086871655
Enschede	330955.0	107.0	3093.03738317757	Eindhoven	134.21995560997
Epe	487968.0	136.0	3588.0	Schiphol	81.98041413271734
Ermelo	489950.0	131.0	3740.0763358778627	Schiphol	62.64243003713937
Etten-Leur	404599.0	127.0	3185.818897637795	Eindhoven	52.40348457022331
De Fryske Marren	363811.0	152.0	2393.4934210526317	Schiphol	93.82408314992531
Geertruidenberg	386542.0	128.0	3019.859375	Eindhoven	43.70343534008779
Geldrop-Mierlo	434446.0	133.0	3266.5112781954886	Eindhoven	14.850393383462036
Gemert-Bakel	438779.0	165.0	2659.266666666667	Eindhoven	28.167765024731946
Gennep	381468.0	147.0	2595.0204081632655	Eindhoven	50.57595329494475
Gilze en Rijen	404290.0	132.0	3062.8030303030305	Eindhoven	33.77704280207369
Goeree-Overflakkee	386668.0	129.0	2997.4263565891474	Schiphol	76.19021060138842
Goes	344828.0	121.0	2849.818181818182	Eindhoven	106.16138217918692
Goirle	469884.0	137.0	3429.810218978102	Eindhoven	24.615077067563405
Gooise Meren	656361.0	124.0	5293.2338709677415	Schiphol	26.203986747515152
Gorinchem	395739.0	106.0	3733.3867924528304	Eindhoven	51.23349960437446
Gouda	363025.0	102.0	3559.0686274509803	Schiphol	33.5102681211626
's-Gravenhage	413689.0	94.0	4400.946808510638	Schiphol	41.08488884158293
Groningen	349931.0	103.0	3397.3883495145633	Schiphol	161.10135159990887
Gulpen-Wittem	355648.0	161.0	2208.9937888198756	Eindhoven	80.8447223881057
Haaksbergen	371944.0	144.0	2582.9444444444443	Eindhoven	123.2315886755493
Haarlem	507289.0	101.0	5022.663366336634	Schiphol	10.174356641230732
Haarlemmermeer	507636.0	115.0	4414.226086956522	Schiphol	4.246556955120834
Halderberge	398819.0	142.0	2808.5845070422533	Eindhoven	60.97106176611455
Hardenberg	349124.0	142.0	2458.6197183098593	Schiphol	127.36002972350565
Harderwijk	437767.0	116.0	3773.853448275862	Schiphol	61.67953747584413
Hardinxveld-Giessendam	374112.0	115.0	3253.1478260869567	Schiphol	54.28454722784807
Harlingen	298340.0	125.0	2386.72	Schiphol	106.62640335460989
Hattem	469519.0	139.0	3377.834532374101	Schiphol	90.25946713313797
Heemskerk	429159.0	113.0	3797.8672566371683	Schiphol	22.872292284425818
Heemstede	708279.0	130.0	5448.3	Schiphol	9.528303460275042
Heerde	479099.0	129.0	3713.9457364341083	Schiphol	89.05951564855133
Heerenveen	362420.0	138.0	2626.231884057971	Schiphol	112.28070260686808
Heerlen	246595.0	115.0	2144.304347826087	Eindhoven	74.40057114359898
Heeze-Leende	482660.0	170.0	2839.176470588235	Eindhoven	16.671519766292793
Heiloo	555327.0	123.0	4514.8536585365855	Schiphol	31.738046898073527
Den Helder	262913.0	106.0	2480.311320754717	Schiphol	67.36579620242398
Hellendoorn	378769.0	132.0	2869.462121212121	Schiphol	115.94211095690616
Helmond	389050.0	121.0	3215.289256198347	Eindhoven	19.905064673736142
Hendrik-Ido-Ambacht	413446.0	120.0	3445.383333333333	Schiphol	53.30973547799413
Hengelo	323659.0	119.0	2719.823529411765	Eindhoven	131.575343233258
's-Hertogenbosch	443955.0	115.0	3860.478260869565	Eindhoven	29.701526630844224
Heumen	436401.0	151.0	2890.072847682119	Eindhoven	47.630492857030085
Heusden	445212.0	144.0	3091.75	Eindhoven	31.13548177536676
Hillegom	428285.0	112.0	3823.973214285714	Schiphol	11.836962065014683
Hilvarenbeek	520360.0	167.0	3115.9281437125746	Eindhoven	16.24555377245596
Hilversum	505257.0	107.0	4722.028037383177	Schiphol	30.432715010030748
Hoeksche Waard	405396.0	124.0	3269.3225806451615	Schiphol	63.82751030166141
Hof van Twente	396306.0	155.0	2556.8129032258066	Eindhoven	120.8304092332945
Het Hogeland	285779.0	172.0	1661.5058139534883	Schiphol	168.2475292649069
Hollands Kroon	379619.0	145.0	2618.062068965517	Schiphol	58.77508152805658
Hoogeveen	307248.0	126.0	2438.4761904761904	Schiphol	127.78827369711723
Hoorn	379412.0	112.0	3387.6071428571427	Schiphol	43.66383354163187
Horst aan de Maas	364033.0	162.0	2247.117283950617	Eindhoven	46.06691677606818
Houten	525070.0	124.0	4234.435483870968	Schiphol	45.32168794403223
Huizen	531067.0	118.0	4500.567796610169	Schiphol	32.96866324865305
Hulst	287857.0	144.0	1999.0069444444443	Eindhoven	91.68348344327819
IJsselstein	475722.0	116.0	4101.051724137931	Schiphol	37.44032234852361
Kaag en Braassem	487753.0	129.0	3781.031007751938	Schiphol	15.917125761640026
Kampen	353228.0	127.0	2781.3228346456694	Schiphol	84.7051909651014
Kapelle	374884.0	137.0	2736.3795620437954	Eindhoven	97.5394075674582
Katwijk	467919.0	107.0	4373.07476635514	Schiphol	26.143363601177008
Kerkrade	242591.0	128.0	1895.2421875	Eindhoven	79.79487569105153
Koggenland	399324.0	148.0	2698.135135135135	Schiphol	38.90724829290659
Krimpen aan den IJssel	425298.0	114.0	3730.684210526316	Schiphol	45.684044263426614
Krimpenerwaard	420436.0	129.0	3259.1937984496126	Schiphol	40.337579731552204
Laarbeek	434148.0	157.0	2765.2738853503183	Eindhoven	18.64912114092417
Land van Cuijk	395464.0	151.0	2618.9668874172185	Eindhoven	40.559184946134685
Landgraaf	271284.0	133.0	2039.7293233082708	Eindhoven	75.84060912428043
Landsmeer	634565.0	124.0	5117.459677419355	Schiphol	19.179942875087303
Lansingerland	525887.0	130.0	4045.2846153846153	Schiphol	38.29898812823958
Laren	1050433.0	157.0	6690.656050955414	Schiphol	32.81894154628858
Leeuwarden	294731.0	114.0	2585.3596491228072	Schiphol	118.44363208772721
Leiden	454317.0	94.0	4833.159574468085	Schiphol	25.32012608237848
Leiderdorp	460174.0	112.0	4108.696428571428	Schiphol	22.53932583311315
Leidschendam-Voorburg	446942.0	104.0	4297.5192307692305	Schiphol	33.437703570831125
Lelystad	372216.0	126.0	2954.095238095238	Schiphol	52.32081303274036
Leudal	361361.0	166.0	2176.873493975904	Eindhoven	42.437528011702476
Leusden	464698.0	128.0	3630.453125	Schiphol	50.24828826509205
Lingewaard	410498.0	132.0	3109.8333333333335	Eindhoven	63.69876973651082
Lisse	448147.0	118.0	3797.85593220339	Schiphol	15.394534595250251
Lochem	500226.0	162.0	3087.814814814815	Eindhoven	105.12280479169598
Loon op Zand	414386.0	132.0	3139.287878787879	Eindhoven	31.03170415151816
Lopik	450717.0	138.0	3266.0652173913045	Schiphol	39.176715943249675
Losser	344779.0	154.0	2238.8246753246754	Eindhoven	146.57855844707646
Maasdriel	448639.0	144.0	3115.5486111111113	Eindhoven	36.62037902917566
Maasgouw	344071.0	163.0	2110.865030674847	Eindhoven	47.78110581841635
Maashorst	405092.0	145.0	2793.7379310344827	Eindhoven	32.67819996440656
Maassluis	378651.0	109.0	3473.862385321101	Schiphol	55.1709690523993
Maastricht	374547.0	112.0	3344.1696428571427	Eindhoven	70.11675392774809
Medemblik	406510.0	144.0	2822.9861111111113	Schiphol	50.92107456237826
Meerssen	368487.0	157.0	2347.0509554140126	Eindhoven	66.44848291723126
Meierijstad	435627.0	149.0	2923.6711409395975	Eindhoven	18.252429624027513
Meppel	359845.0	114.0	3156.535087719298	Schiphol	107.4703833519562
Middelburg	345346.0	115.0	3003.008695652174	Schiphol	117.8227242775965
Midden-Delfland	502410.0	134.0	3749.3283582089553	Schiphol	49.27774450602414
Midden-Drenthe	364967.0	156.0	2339.5320512820513	Schiphol	135.82564828051036
Midden-Groningen	307111.0	144.0	2132.715277777778	Schiphol	169.6387075284797
Moerdijk	375225.0	133.0	2821.2406015037595	Eindhoven	62.05813227799735
Molenlanden	404893.0	138.0	2934.0072463768115	Schiphol	48.47289765889764
Montferland	357759.0	146.0	2450.404109589041	Eindhoven	77.74198101380631
Montfoort	478504.0	132.0	3625.030303030303	Schiphol	32.680988259114734
Mook en Middelaar	456031.0	156.0	2923.275641025641	Eindhoven	49.085613717591805
Neder-Betuwe	410710.0	144.0	2852.152777777778	Eindhoven	53.770629974219815
Nederweert	391462.0	175.0	2236.925714285714	Eindhoven	32.62842648266927
Nieuwegein	385704.0	104.0	3708.6923076923076	Schiphol	39.5546875088822
Nieuwkoop	468956.0	139.0	3373.7841726618703	Schiphol	16.143264855156385
Nijkerk	478370.0	130.0	3679.769230769231	Schiphol	51.47582446690972
Nijmegen	396340.0	112.0	3538.75	Eindhoven	53.7795260902342
Nissewaard	335318.0	105.0	3193.504761904762	Schiphol	62.32504099270153
Noardeast-Fryslân	279101.0	159.0	1755.3522012578617	Schiphol	141.67636342414124
Noord-Beveland	314504.0	127.0	2476.4094488188975	Schiphol	106.14538642750207
Noordenveld	395191.0	147.0	2688.374149659864	Schiphol	143.25418917039624
Noordoostpolder	330982.0	161.0	2055.7888198757764	Schiphol	81.90806909984725
Noordwijk	558030.0	120.0	4650.25	Schiphol	18.582833392597873
Nuenen, Gerwen en Nederwetten	507646.0	151.0	3361.8940397350993	Eindhoven	12.634983482295285
Nunspeet	466618.0	134.0	3482.223880597015	Schiphol	70.61554920567583
Oegstgeest	554888.0	129.0	4301.457364341085	Schiphol	23.59646026999734
Oirschot	445409.0	159.0	2801.314465408805	Eindhoven	7.5911876962911675
Oisterwijk	548465.0	150.0	3656.4333333333334	Eindhoven	17.15105535575044
Oldambt	265561.0	146.0	1818.9109589041095	Schiphol	183.45764315302839
Oldebroek	404930.0	140.0	2892.3571428571427	Schiphol	82.22361966892159
Oldenzaal	352349.0	130.0	2710.376923076923	Eindhoven	142.30798302366273
Olst-Wijhe	392170.0	145.0	2704.6206896551726	Schiphol	95.56145748210344
Ommen	414665.0	150.0	2764.4333333333334	Schiphol	116.49467275525203
Oost Gelre	335834.0	152.0	2209.434210526316	Eindhoven	103.64773275740639
Oosterhout	383798.0	127.0	3022.031496062992	Eindhoven	41.00524633308991
Ooststellingwerf	340529.0	124.0	2746.201612903226	Schiphol	127.3613131442368
Oostzaan	512640.0	114.0	4496.8421052631575	Schiphol	17.45281390665664
Opmeer	406119.0	142.0	2859.992957746479	Schiphol	46.46901560019555
Opsterland	356626.0	162.0	2201.395061728395	Schiphol	122.9670737724641
Oss	391472.0	135.0	2899.7925925925924	Eindhoven	38.33993929284149
Oude IJsselstreek	340047.0	151.0	2251.9668874172185	Eindhoven	87.54787369092719
Ouder-Amstel	630471.0	122.0	5167.795081967213	Schiphol	11.627123162698828
Oudewater	449685.0	136.0	3306.5073529411766	Schiphol	33.08590754314561
Overbetuwe	433469.0	137.0	3164.007299270073	Eindhoven	59.61033125121757
Papendrecht	363336.0	112.0	3244.0714285714284	Schiphol	53.83540903496063
Peel en Maas	371634.0	161.0	2308.285714285714	Eindhoven	44.82003442815249
Pekela	215756.0	147.0	1467.7278911564626	Schiphol	171.9078315530362
Pijnacker-Nootdorp	529527.0	131.0	4042.1908396946565	Schiphol	39.993961738865536
Purmerend	418835.0	110.0	3807.590909090909	Schiphol	28.149194282623743
Putten	525344.0	136.0	3862.823529411765	Schiphol	57.551631884419436
Raalte	421573.0	149.0	2829.3489932885905	Schiphol	104.25733330272432
Reimerswaal	309829.0	127.0	2439.5984251968503	Eindhoven	85.67818099650229
Renkum	454631.0	130.0	3497.1615384615384	Eindhoven	66.33584231116329
Renswoude	419133.0	150.0	2794.22	Schiphol	60.26231215011699
Reusel-De Mierden	435659.0	164.0	2656.4573170731705	Eindhoven	17.62688053461308
Rheden	393825.0	120.0	3281.875	Eindhoven	79.84799306535757
Rhenen	493055.0	130.0	3792.730769230769	Eindhoven	60.35311819328942
Ridderkerk	339295.0	104.0	3262.451923076923	Schiphol	50.696383694160694
Rijssen-Holten	390878.0	137.0	2853.124087591241	Schiphol	114.74288831383512
Rijswijk	385294.0	102.0	3777.392156862745	Schiphol	42.40618553579998
Roerdalen	330300.0	159.0	2077.3584905660377	Eindhoven	57.41310659990403
Roermond	344337.0	128.0	2690.1328125	Eindhoven	52.25770355204977
De Ronde Venen	510413.0	134.0	3809.0522388059703	Schiphol	15.315669470050937
Roosendaal	342488.0	122.0	2807.27868852459	Eindhoven	66.12729181708843
Rotterdam	383652.0	90.0	4262.8	Schiphol	52.78950052505125
Rozendaal	739742.0	194.0	3813.103092783505	Eindhoven	77.4290979445032
Rucphen	428608.0	151.0	2838.46357615894	Eindhoven	57.09800832173006
Schagen	361248.0	142.0	2544.0	Schiphol	52.110429772337234
Scherpenzeel	445731.0	96.0	4643.03125	Schiphol	57.25259493292109
Schiedam	312009.0	96.0	3250.09375	Schiphol	49.859636052908535
Schiermonnikoog	392520.0	121.0	3243.96694214876	Schiphol	164.18434224564066
Schouwen-Duiveland	426422.0	135.0	3158.6814814814816	Schiphol	90.86892055180776
Simpelveld	305913.0	150.0	2039.42	Eindhoven	81.29874188067248
Sint-Michielsgestel	508033.0	160.0	3175.20625	Eindhoven	23.104338830271747
Sittard-Geleen	299110.0	127.0	2355.196850393701	Eindhoven	58.676397870259194
Sliedrecht	348242.0	105.0	3316.5904761904762	Schiphol	54.031197183964295
Sluis	343411.0	137.0	2506.6496350364964	Eindhoven	129.68964282891898
Smallingerland	311690.0	131.0	2379.312977099237	Schiphol	124.20193860991404
Soest	496039.0	121.0	4099.495867768595	Schiphol	41.33171337407354
Someren	410727.0	164.0	2504.432926829268	Eindhoven	23.36407382489537
Son en Breugel	525199.0	152.0	3455.2565789473683	Eindhoven	10.464785613613989
Stadskanaal	265130.0	122.0	2173.1967213114754	Schiphol	170.5581185273524
Staphorst	348135.0	213.0	1634.4366197183099	Schiphol	104.94288184855492
Stede Broec	361141.0	125.0	2889.128	Schiphol	53.76298698427431
Steenbergen	340642.0	135.0	2523.274074074074	Eindhoven	74.44058019309203
Steenwijkerland	364946.0	151.0	2416.860927152318	Schiphol	99.54549141911397
Stein	307129.0	142.0	2162.8802816901407	Eindhoven	60.13661169129042
Stichtse Vecht	463136.0	121.0	3827.5702479338843	Schiphol	23.77115973845052
Súdwest-Fryslân	333187.0	151.0	2206.53642384106	Schiphol	95.56986044674022
Terneuzen	279351.0	126.0	2217.0714285714284	Eindhoven	107.62014200477557
Terschelling	519238.0	137.0	3790.058394160584	Schiphol	126.61016576000071
Texel	435091.0	125.0	3480.728	Schiphol	85.06391063868404
Teylingen	478659.0	119.0	4022.344537815126	Schiphol	19.659651349809327
Tholen	301243.0	135.0	2231.4296296296297	Eindhoven	86.91658410022247
Tiel	367705.0	115.0	3197.4347826086955	Eindhoven	48.34683752424446
Tilburg	371491.0	111.0	3346.765765765766	Eindhoven	25.358339745391334
Tubbergen	408662.0	196.0	2085.0102040816328	Schiphol	138.1704747575214
Twenterand	338159.0	148.0	2284.858108108108	Schiphol	126.38701805592216
Tynaarlo	441709.0	146.0	3025.404109589041	Schiphol	152.31407382456268
Tytsjerksteradiel	327843.0	151.0	2171.1456953642382	Schiphol	127.86412446770261
Uitgeest	430433.0	123.0	3499.4552845528456	Schiphol	23.264568014926468
