municipality,avg_price,avg_surface,population,pop_density,size,avg_income,unemp_rate,net_labor_participation,nearest_city,distance_to_nearest_city,station_count,express_train_station_count,interchange_intercity_station_count,interchange_local_train_station_count,intercity_station_count,local_train_station_count,mega_station_count,total_traffic,m2_price
Lelystad,372216.0,126.0,83033.0,363.0,22900.0,33.2,3.8,71.4,Amsterdam,40.40939925778187,1,0,1,0,0,0,0,63219,2954.095238095238
Leudal,361361.0,166.0,36141.0,222.0,16251.0,36.4,2.9,71.7,Eindhoven,35.70986550021064,0,0,0,0,0,0,0,0,2176.873493975904
Leusden,464698.0,128.0,31467.0,538.0,5851.0,40.7,2.9,74.7,Utrecht,20.34704811864935,0,0,0,0,0,0,0,0,3630.453125
Lingewaard,410498.0,132.0,47220.0,762.0,6196.0,36.4,2.7,75.3,'s-Hertogenbosch,49.465271352575876,0,0,0,0,0,0,0,0,3109.8333333333335
Lisse,448147.0,118.0,23390.0,1490.0,1570.0,37.5,2.9,75.4,The Hague,26.40923803018292,0,0,0,0,0,0,0,0,3797.85593220339
Lochem,500226.0,162.0,34314.0,161.0,21305.0,39.7,2.9,71.8,Utrecht,84.30907647516604,1,0,0,0,0,1,0,22085,3087.814814814815
Loon op Zand,414386.0,132.0,23797.0,477.0,4992.0,36.4,2.7,74.8,Tilburg,6.281597057914409,0,0,0,0,0,0,0,0,3139.287878787879
Lopik,450717.0,138.0,14704.0,195.0,7556.0,39.4,2.7,76.9,Utrecht,16.838153867676933,0,0,0,0,0,0,0,0,3266.0652173913045
Losser,344779.0,154.0,23362.0,237.0,9874.0,34.6,2.9,72.1,Groningen,106.0220738305758,0,0,0,0,0,0,0,0,2238.8246753246754
Maasdriel,448639.0,144.0,26020.0,395.0,6588.0,37.3,2.8,75.4,'s-Hertogenbosch,8.707291006212744,0,0,0,0,0,0,0,0,3115.5486111111113
Maasgouw,344071.0,163.0,24305.0,532.0,4570.0,36.4,2.9,69.7,Maastricht,37.06597648963185,0,0,0,0,0,0,0,0,2110.865030674847
Maashorst,405092.0,145.0,58934.0,429.0,13733.0,36.4,3.0,74.4,'s-Hertogenbosch,24.245097821624405,0,0,0,0,0,0,0,0,2793.7379310344827
Maassluis,378651.0,109.0,35303.0,4180.0,844.0,34.7,3.6,71.9,Rotterdam,15.548493353187736,0,0,0,0,0,0,0,0,3473.862385321101
Maastricht,374547.0,112.0,122734.0,2200.0,5579.0,29.5,4.4,66.1,Maastricht,0.6164037956527111,3,0,1,1,0,1,0,202844,3344.1696428571427
Medemblik,406510.0,144.0,46031.0,380.0,12123.0,35.8,3.0,73.5,Amsterdam,41.41364435812154,0,0,0,0,0,0,0,0,2822.9861111111113
Meerssen,368487.0,157.0,18600.0,696.0,2673.0,37.3,2.9,70.9,Maastricht,7.323061707139514,2,1,0,0,0,1,0,58726,2347.0509554140126
Meierijstad,435627.0,149.0,83715.0,455.0,18400.0,37.3,2.8,75.2,'s-Hertogenbosch,18.258456120384825,0,0,0,0,0,0,0,0,2923.6711409395975
Meppel,359845.0,114.0,35464.0,639.0,5550.0,33.8,3.2,74.5,Groningen,61.370723533515,1,0,0,1,0,0,0,73780,3156.535087719298
Middelburg,345346.0,115.0,49956.0,1033.0,4838.0,33.7,3.0,73.0,Rotterdam,73.96071873492178,2,0,0,0,0,2,0,67220,3003.008695652174
Midden-Delfland,502410.0,134.0,19472.0,413.0,4719.0,42.1,2.6,77.0,The Hague,11.766017664786911,0,0,0,0,0,0,0,0,3749.3283582089553
Midden-Drenthe,364967.0,156.0,33987.0,100.0,34062.0,35.2,2.8,72.4,Groningen,39.24319319445696,1,0,0,0,0,1,0,26369,2339.5320512820513
Midden-Groningen,307111.0,144.0,61554.0,221.0,27795.0,31.7,3.6,70.1,Groningen,16.32544444110127,4,0,0,2,0,2,0,183856,2132.715277777778
Moerdijk,375225.0,133.0,37711.0,237.0,15917.0,36.3,2.9,74.2,Breda,18.373797366193575,2,0,0,1,0,1,0,75402,2821.2406015037595
Molenlanden,404893.0,138.0,45158.0,249.0,18157.0,39.6,2.6,77.1,Rotterdam,25.689880614596568,1,0,0,0,0,1,0,22930,2934.0072463768115
Montferland,357759.0,146.0,36882.0,349.0,10570.0,34.5,2.9,72.1,'s-Hertogenbosch,67.12647521920275,1,0,0,0,0,1,0,39212,2450.404109589041
Montfoort,478504.0,132.0,13929.0,371.0,3758.0,39.8,2.7,77.6,Utrecht,13.137722592695617,0,0,0,0,0,0,0,0,3625.030303030303
Mook en Middelaar,456031.0,156.0,8043.0,463.0,1739.0,42.1,2.8,71.4,'s-Hertogenbosch,41.364272858076184,1,0,0,0,0,1,0,33202,2923.275641025641
Neder-Betuwe,410710.0,144.0,25448.0,424.0,5999.0,35.3,2.8,76.4,'s-Hertogenbosch,31.019493665602987,3,0,0,0,0,3,0,58103,2852.152777777778
Nederweert,391462.0,175.0,17499.0,175.0,9990.0,36.0,2.8,73.5,Eindhoven,25.883815805436857,0,0,0,0,0,0,0,0,2236.925714285714
Nieuwegein,385704.0,104.0,65426.0,2794.0,2342.0,34.9,3.5,73.0,Utrecht,6.923263859142889,0,0,0,0,0,0,0,0,3708.6923076923076
Nieuwkoop,468956.0,139.0,29463.0,375.0,7846.0,40.1,2.7,76.3,Amsterdam,23.362936324363194,0,0,0,0,0,0,0,0,3373.7841726618703
Nijkerk,478370.0,130.0,44975.0,649.0,6932.0,38.5,2.7,76.5,Utrecht,28.25028837468475,1,0,0,0,0,1,0,26622,3679.769230769231
Nijmegen,396340.0,112.0,182480.0,3456.0,5281.0,30.3,4.0,72.4,'s-Hertogenbosch,39.94313147469105,5,0,1,0,0,4,0,299256,3538.75
Nissewaard,335318.0,105.0,86833.0,1184.0,7331.0,34.5,3.6,71.0,Rotterdam,16.672649197174273,0,0,0,0,0,0,0,0,3193.504761904762
Noardeast-Fryslân,279101.0,159.0,45812.0,121.0,37922.0,31.7,3.3,72.5,Groningen,38.467072015058854,0,0,0,0,0,0,0,0,1755.3522012578617
Noord-Beveland,314504.0,127.0,7857.0,91.0,8600.0,37.0,2.7,69.7,Rotterdam,62.22222062161065,0,0,0,0,0,0,0,0,2476.4094488188975
Noordenveld,395191.0,147.0,31591.0,159.0,19901.0,36.0,2.9,71.7,Groningen,16.088733058381163,0,0,0,0,0,0,0,0,2688.374149659864
Noordoostpolder,330982.0,161.0,49729.0,109.0,45809.0,34.3,3.2,75.2,Amsterdam,69.88376707216209,0,0,0,0,0,0,0,0,2055.7888198757764
Noordwijk,558030.0,120.0,45179.0,774.0,5834.0,40.1,2.9,75.1,The Hague,25.553846872551084,0,0,0,0,0,0,0,0,4650.25
"Nuenen, Gerwen en Nederwetten",507646.0,151.0,24015.0,714.0,3365.0,41.3,2.8,74.0,Eindhoven,8.796026940638091,0,0,0,0,0,0,0,0,3361.8940397350993
Nunspeet,466618.0,134.0,28731.0,223.0,12873.0,36.0,2.7,75.0,Utrecht,53.06974515605548,1,0,0,0,0,1,0,27443,3482.223880597015
Oegstgeest,554888.0,129.0,25746.0,3530.0,729.0,47.1,3.1,75.4,The Hague,17.468628875579885,0,0,0,0,0,0,0,0,4301.457364341085
Oirschot,445409.0,159.0,19217.0,189.0,10179.0,39.6,2.6,75.1,Eindhoven,14.286342052252412,0,0,0,0,0,0,0,0,2801.314465408805
Oisterwijk,548465.0,150.0,32941.0,411.0,8011.0,41.6,2.7,74.4,Tilburg,10.542472615301744,1,0,0,0,0,1,0,22987,3656.4333333333334
Oldambt,265561.0,146.0,39044.0,172.0,22657.0,30.7,3.6,68.1,Groningen,32.685131923274625,3,0,0,2,0,1,0,70485,1818.9109589041095
Oldebroek,404930.0,140.0,24264.0,248.0,9766.0,34.9,2.6,75.3,Utrecht,68.80970183488174,1,0,0,0,0,1,0,26366,2892.3571428571427
Oldenzaal,352349.0,130.0,31925.0,1481.0,2155.0,34.6,3.0,73.9,Groningen,103.89246414586624,1,0,0,0,0,1,0,35751,2710.376923076923
Olst-Wijhe,392170.0,145.0,18682.0,164.0,11366.0,36.2,2.8,74.6,Utrecht,76.63017737360134,2,0,0,0,2,0,0,55350,2704.6206896551726
Ommen,414665.0,150.0,18955.0,105.0,17985.0,35.9,2.9,74.3,Groningen,78.76326074440088,1,0,0,0,0,0,0,30033,2764.4333333333334
Oost Gelre,335834.0,152.0,29846.0,271.0,10993.0,36.1,2.6,75.3,'s-Hertogenbosch,94.14137071857543,1,0,0,0,0,1,0,22908,2209.434210526316
Oosterhout,383798.0,127.0,57425.0,804.0,7143.0,36.1,3.2,72.8,Breda,9.86482030213951,0,0,0,0,0,0,0,0,3022.031496062992
Ooststellingwerf,340529.0,124.0,25837.0,116.0,22330.0,32.9,3.2,71.0,Groningen,32.43451207946689,0,0,0,0,0,0,0,0,2746.201612903226
Oostzaan,512640.0,114.0,9720.0,841.0,1156.0,38.8,2.9,74.8,Amsterdam,9.611928170641482,0,0,0,0,0,0,0,0,4496.8421052631575
Opmeer,406119.0,142.0,12180.0,294.0,4148.0,37.2,2.7,75.1,Amsterdam,38.72883840188988,0,0,0,0,0,0,0,0,2859.992957746479
Opsterland,356626.0,162.0,30054.0,134.0,22440.0,34.7,3.0,73.3,Groningen,35.66035970627691,0,0,0,0,0,0,0,0,2201.395061728395
Oss,391472.0,135.0,94437.0,583.0,16201.0,35.0,3.2,73.3,'s-Hertogenbosch,17.99698603936006,3,0,1,0,0,2,0,101845,2899.7925925925924
Oude IJsselstreek,340047.0,151.0,39613.0,291.0,13607.0,33.5,3.0,72.0,'s-Hertogenbosch,79.45771973172536,2,0,0,0,0,2,0,50405,2251.9668874172185
Ouder-Amstel,630471.0,122.0,14276.0,596.0,2395.0,43.3,3.5,74.1,Amsterdam,8.828575166880649,1,0,0,1,0,0,0,107230,5167.795081967213
Oudewater,449685.0,136.0,10232.0,263.0,3890.0,40.1,2.7,75.7,Utrecht,19.037335754109193,0,0,0,0,0,0,0,0,3306.5073529411766
Overbetuwe,433469.0,137.0,48707.0,447.0,10903.0,37.1,2.6,76.1,'s-Hertogenbosch,41.222969302169695,2,0,0,1,0,1,0,74957,3164.007299270073
Papendrecht,363336.0,112.0,32277.0,3428.0,941.0,35.9,3.2,73.9,Rotterdam,18.518623622242924,0,0,0,0,0,0,0,0,3244.0714285714284
Peel en Maas,371634.0,161.0,45276.0,284.0,15935.0,35.4,2.8,75.4,Eindhoven,38.1570974637331,0,0,0,0,0,0,0,0,2308.285714285714
Pekela,215756.0,147.0,12404.0,253.0,4904.0,29.5,3.4,69.8,Groningen,31.801739349707475,0,0,0,0,0,0,0,0,1467.7278911564626
Pijnacker-Nootdorp,529527.0,131.0,57672.0,1564.0,3687.0,41.9,3.0,78.5,The Hague,10.175520243583476,0,0,0,0,0,0,0,0,4042.1908396946565
Purmerend,418835.0,110.0,93992.0,1004.0,9361.0,35.4,3.4,73.6,Amsterdam,19.600957423799645,3,0,0,1,0,2,0,71565,3807.590909090909
Putten,525344.0,136.0,24904.0,292.0,8521.0,37.7,2.6,75.1,Utrecht,35.919104389703115,1,0,0,0,0,1,0,26553,3862.823529411765
Raalte,421573.0,149.0,38500.0,225.0,17097.0,35.5,2.7,75.6,Utrecht,85.43716183017457,2,0,0,0,0,2,0,54504,2829.3489932885905
Reimerswaal,309829.0,127.0,23255.0,229.0,10176.0,34.7,2.8,76.3,Breda,46.09353498501426,3,0,0,0,0,3,0,87614,2439.5984251968503
Renkum,454631.0,130.0,31461.0,685.0,4596.0,38.9,3.1,70.9,'s-Hertogenbosch,46.3143847811756,2,0,0,0,0,2,0,43880,3497.1615384615384
Renswoude,419133.0,150.0,5747.0,313.0,1839.0,59.4,2.6,79.3,Utrecht,28.38688245459139,0,0,0,0,0,0,0,0,2794.22
Reusel-De Mierden,435659.0,164.0,13542.0,174.0,7781.0,37.2,2.7,74.0,Eindhoven,22.378193668036182,0,0,0,0,0,0,0,0,2656.4573170731705
Rheden,393825.0,120.0,43570.0,533.0,8177.0,34.6,3.3,70.6,'s-Hertogenbosch,63.45214458110768,3,0,0,0,1,2,0,99600,3281.875
Rhenen,493055.0,130.0,20329.0,484.0,4202.0,37.8,3.1,74.6,Utrecht,32.52672366924759,1,0,0,1,0,0,0,26757,3792.730769230769
Ridderkerk,339295.0,104.0,47477.0,2022.0,2348.0,34.9,3.4,72.8,Rotterdam,10.164743756874676,0,0,0,0,0,0,0,0,3262.451923076923
Rijssen-Holten,390878.0,137.0,38493.0,409.0,9412.0,37.6,2.7,77.7,Utrecht,92.30039683656341,2,0,0,0,0,2,0,50235,2853.124087591241
Rijswijk,385294.0,102.0,57997.0,4150.0,1398.0,35.4,3.8,71.1,The Hague,4.245510980140289,1,0,0,0,0,1,0,48896,3777.392156862745
Roerdalen,330300.0,159.0,20702.0,235.0,8821.0,34.9,3.0,68.8,Maastricht,40.844091845504515,0,0,0,0,0,0,0,0,2077.3584905660377
Roermond,344337.0,128.0,59981.0,989.0,6064.0,32.8,3.8,68.9,Maastricht,45.057149057831424,2,0,1,0,0,1,0,126188,2690.1328125
De Ronde Venen,510413.0,134.0,45572.0,457.0,9968.0,43.5,2.9,74.8,Amsterdam,15.81893265970389,1,0,0,0,0,1,0,36266,3809.0522388059703
Roosendaal,342488.0,122.0,77613.0,729.0,10650.0,33.8,3.6,70.6,Breda,24.640011397655915,1,0,1,0,0,0,0,106574,2807.27868852459
Rotterdam,383652.0,90.0,663900.0,3040.0,21842.0,31.8,5.3,69.4,Rotterdam,11.814350387144687,7,0,0,0,1,4,1,538598,4262.8
Rozendaal,739742.0,194.0,1754.0,63.0,2790.0,81.4,2.4,76.8,Utrecht,58.10335294470738,0,0,0,0,0,0,0,0,3813.103092783505
Rucphen,428608.0,151.0,23636.0,367.0,6438.0,34.7,2.8,70.1,Breda,15.499203364806407,0,0,0,0,0,0,0,0,2838.46357615894
Schagen,361248.0,142.0,47450.0,282.0,16799.0,36.6,2.9,73.1,Amsterdam,47.533352076873726,1,0,0,0,0,1,0,31838,2544.0
Scherpenzeel,445731.0,96.0,10386.0,753.0,1379.0,37.4,2.7,77.6,Utrecht,26.01057141501953,0,0,0,0,0,0,0,0,4643.03125
Schiedam,312009.0,96.0,80628.0,4528.0,1781.0,32.7,4.1,72.0,Rotterdam,6.39514162123994,1,0,0,0,0,1,0,107184,3250.09375
Schiermonnikoog,392520.0,121.0,982.0,23.0,4293.0,42.4,2.9,71.9,Groningen,37.68582433433771,0,0,0,0,0,0,0,0,3243.96694214876
Schouwen-Duiveland,426422.0,135.0,34561.0,151.0,22860.0,37.0,2.4,72.2,Rotterdam,47.631823717214075,0,0,0,0,0,0,0,0,3158.6814814814816
Simpelveld,305913.0,150.0,10396.0,649.0,1603.0,33.5,2.9,70.0,Maastricht,20.973500893399542,0,0,0,0,0,0,0,0,2039.42
Sint-Michielsgestel,508033.0,160.0,30135.0,516.0,5835.0,40.3,2.6,75.3,'s-Hertogenbosch,6.861775358087607,0,0,0,0,0,0,0,0,3175.20625
Sittard-Geleen,299110.0,127.0,92234.0,1173.0,7861.0,32.7,3.5,67.3,Maastricht,19.607438743904815,3,0,1,0,0,2,0,141751,2355.196850393701
Sliedrecht,348242.0,105.0,26184.0,2038.0,1285.0,33.9,3.1,75.0,Rotterdam,22.83938977504246,2,0,0,0,0,2,0,82025,3316.5904761904762
Sluis,343411.0,137.0,23243.0,83.0,27860.0,34.3,3.0,68.1,Breda,90.9222590485869,0,0,0,0,0,0,0,0,2506.6496350364964
Smallingerland,311690.0,131.0,56098.0,479.0,11717.0,32.2,3.8,71.8,Groningen,37.07820932657251,0,0,0,0,0,0,0,0,2379.312977099237
Soest,496039.0,121.0,47439.0,1026.0,4625.0,39.5,3.2,72.9,Utrecht,13.89385108831,3,0,0,1,0,2,0,64944,4099.495867768595
Someren,410727.0,164.0,20061.0,250.0,8010.0,37.1,2.8,75.6,Eindhoven,16.641205836962154,0,0,0,0,0,0,0,0,2504.432926829268
Son en Breugel,525199.0,152.0,18010.0,694.0,2595.0,42.0,2.8,76.9,Eindhoven,10.486114530587969,0,0,0,0,0,0,0,0,3455.2565789473683
Stadskanaal,265130.0,122.0,32135.0,273.0,11763.0,30.5,3.4,69.2,Groningen,38.14826022804764,0,0,0,0,0,0,0,0,2173.1967213114754
Staphorst,348135.0,213.0,17628.0,132.0,13394.0,37.0,2.7,78.6,Groningen,69.4715920347327,0,0,0,0,0,0,0,0,1634.4366197183099
Stede Broec,361141.0,125.0,22138.0,1529.0,1448.0,34.6,3.0,74.1,Amsterdam,43.069916020516196,2,0,0,0,0,2,0,59643,2889.128
Steenbergen,340642.0,135.0,24610.0,168.0,14650.0,34.4,2.9,73.6,Breda,30.76466753353979,0,0,0,0,0,0,0,0,2523.274074074074
Steenwijkerland,364946.0,151.0,45376.0,157.0,28831.0,34.4,3.1,73.4,Groningen,62.8585445882284,1,0,0,0,1,0,0,45830,2416.860927152318
Stein,307129.0,142.0,24772.0,1184.0,2092.0,34.2,3.0,69.1,Maastricht,13.872563664450837,1,0,0,0,0,1,0,25644,2162.8802816901407
Stichtse Vecht,463136.0,121.0,65771.0,685.0,9604.0,41.0,3.0,74.4,Utrecht,12.096967660239269,2,0,0,1,0,1,0,97757,3827.5702479338843
Súdwest-Fryslân,333187.0,151.0,90883.0,174.0,52270.0,33.6,3.5,72.6,Groningen,71.26208038113226,7,0,0,1,0,6,0,125654,2206.53642384106
Terneuzen,279351.0,126.0,54993.0,220.0,25013.0,33.9,2.9,69.9,Breda,71.3071504006293,0,0,0,0,0,0,0,0,2217.0714285714284
Terschelling,519238.0,137.0,4928.0,57.0,8721.0,34.5,2.8,74.3,Groningen,84.57391586480622,0,0,0,0,0,0,0,0,3790.058394160584
Texel,435091.0,125.0,13979.0,86.0,16226.0,35.2,2.8,71.0,Amsterdam,79.47981422625307,0,0,0,0,0,0,0,0,3480.728
Teylingen,478659.0,119.0,38510.0,1360.0,2832.0,41.3,2.9,77.1,The Hague,21.491971676162954,2,0,0,0,0,2,0,71286,4022.344537815126
Tholen,301243.0,135.0,26825.0,183.0,14672.0,34.5,2.8,74.5,Breda,43.80160031930275,0,0,0,0,0,0,0,0,2231.4296296296297
Tiel,367705.0,115.0,42604.0,1299.0,3280.0,33.0,3.8,72.9,'s-Hertogenbosch,21.929665691998917,2,0,0,1,0,1,0,74826,3197.4347826086955
Tilburg,371491.0,111.0,227707.0,1809.0,12589.0,31.4,4.0,73.2,Tilburg,1.4437606622420354,3,0,1,0,0,2,0,169144,3346.765765765766
Tubbergen,408662.0,196.0,21408.0,146.0,14700.0,37.6,2.6,75.4,Groningen,90.99710156479175,0,0,0,0,0,0,0,0,2085.0102040816328
Twenterand,338159.0,148.0,33867.0,319.0,10614.0,33.1,2.9,74.1,Groningen,85.75193881737513,2,0,0,0,0,2,0,35554,2284.858108108108
Tynaarlo,441709.0,146.0,34592.0,242.0,14288.0,39.1,2.8,73.2,Groningen,13.913956236567284,0,0,0,0,0,0,0,0,3025.404109589041
Tytsjerksteradiel,327843.0,151.0,32408.0,218.0,14863.0,33.8,3.1,73.2,Groningen,40.151409467567866,1,0,0,0,0,1,0,22642,2171.1456953642382
Uitgeest,430433.0,123.0,13472.0,703.0,1916.0,38.9,2.9,76.7,Amsterdam,21.136880700260246,1,0,0,1,0,0,0,66684,3499.4552845528456
Uithoorn,492522.0,117.0,31442.0,1735.0,1812.0,38.1,3.3,76.6,Amsterdam,16.512634028066245,0,0,0,0,0,0,0,0,4209.589743589743
Urk,346323.0,128.0,21829.0,1661.0,1314.0,34.9,2.7,81.3,Amsterdam,58.753378397494195,0,0,0,0,0,0,0,0,2705.6484375
Utrecht,474406.0,95.0,367947.0,3924.0,9377.0,34.9,4.0,77.3,Utrecht,3.1724436648173664,9,0,0,2,0,6,1,824348,4993.747368421053
Utrechtse Heuvelrug,565002.0,132.0,50429.0,382.0,13202.0,42.3,3.1,73.4,Utrecht,19.297531543065066,2,0,0,2,0,0,0,93736,4280.318181818182
Vaals,339157.0,123.0,10190.0,427.0,2389.0,30.6,4.6,59.5,Maastricht,21.911466523385954,0,0,0,0,0,0,0,0,2757.3739837398375
Valkenburg aan de Geul,374549.0,144.0,16423.0,447.0,3673.0,35.8,3.0,69.2,Maastricht,9.355331067701929,2,0,0,0,0,1,0,64837,2601.034722222222
Valkenswaard,445032.0,131.0,31527.0,574.0,5491.0,35.8,3.1,72.2,Eindhoven,11.09407515433205,0,0,0,0,0,0,0,0,3397.1908396946565
Veendam,269888.0,124.0,27616.0,364.0,7593.0,31.3,3.6,70.6,Groningen,25.46398617108893,1,0,0,1,0,0,0,22800,2176.516129032258
Veenendaal,393050.0,111.0,68525.0,3528.0,1942.0,35.0,3.3,74.8,Utrecht,30.59629128380962,2,0,0,1,0,1,0,53510,3540.990990990991
Veere,450324.0,140.0,22045.0,166.0,13299.0,38.4,2.4,71.7,Rotterdam,76.63856371492871,0,0,0,0,0,0,0,0,3216.6
Veldhoven,486364.0,134.0,46417.0,1465.0,3168.0,38.5,3.0,74.4,Eindhoven,5.581667530561458,0,0,0,0,0,0,0,0,3629.582089552239
Velsen,445225.0,103.0,68790.0,1528.0,4503.0,35.8,3.3,73.6,Amsterdam,20.670400647708398,3,0,0,0,0,3,0,84873,4322.57281553398
Venlo,318113.0,129.0,103328.0,832.0,12416.0,32.2,3.7,70.8,Eindhoven,48.36477515423293,3,0,1,0,0,2,0,159897,2465.9922480620153
Venray,369202.0,151.0,44628.0,273.0,16318.0,34.9,3.3,73.1,Eindhoven,36.21152904733802,1,0,0,1,0,0,0,33172,2445.046357615894
Vijfheerenlanden,411710.0,127.0,60052.0,411.0,14628.0,36.5,3.0,75.1,Utrecht,17.7098537364032,1,0,0,0,0,1,0,22946,3241.8110236220473
Vlaardingen,318185.0,94.0,75079.0,3214.0,2336.0,32.7,4.0,71.7,Rotterdam,10.302973934756183,0,0,0,0,0,0,0,0,3384.946808510638
Vlieland,526909.0,111.0,1291.0,31.0,4184.0,42.7,3.0,76.1,Amsterdam,98.82711566595324,0,0,0,0,0,0,0,0,4746.927927927928
Vlissingen,274120.0,106.0,45150.0,1314.0,3437.0,31.3,3.4,70.4,Rotterdam,78.87982872778753,2,0,1,0,0,1,0,66338,2586.0377358490564
Voerendaal,373016.0,160.0,12405.0,394.0,3151.0,36.7,2.8,71.4,Maastricht,15.921794371921235,3,0,0,0,0,3,0,80018,2331.35
Voorne aan Zee,433128.0,124.0,73945.0,607.0,12177.0,38.9,3.1,72.2,Rotterdam,24.295916214199636,0,0,0,0,0,0,0,0,3492.967741935484
Voorschoten,534837.0,121.0,25665.0,2309.0,1111.0,42.2,3.1,73.6,The Hague,11.11762761351441,2,0,0,0,0,2,0,94983,4420.140495867769
Voorst,473723.0,146.0,25215.0,205.0,12293.0,37.9,2.6,73.8,Utrecht,68.31677581538072,2,0,0,0,0,2,0,41394,3244.678082191781
Vught,606139.0,144.0,32113.0,535.0,6002.0,44.1,2.7,75.5,'s-Hertogenbosch,6.695602976512746,1,0,0,0,0,1,0,23333,4209.298611111111
Waadhoeke,273994.0,157.0,46718.0,164.0,28542.0,32.5,3.3,72.4,Groningen,63.56954483174513,3,0,0,0,0,3,0,62031,1745.1847133757963
Waalre,566029.0,151.0,17980.0,803.0,2238.0,44.1,3.0,74.5,Eindhoven,3.9908012392178263,0,0,0,0,0,0,0,0,3748.53642384106
Waalwijk,394820.0,123.0,49952.0,774.0,6454.0,34.3,3.2,74.4,Tilburg,12.309361896542534,0,0,0,0,0,0,0,0,3209.918699186992
Waddinxveen,395832.0,120.0,32601.0,1175.0,2775.0,36.9,2.9,76.9,Rotterdam,17.293340561696322,4,0,0,0,0,4,0,160161,3298.6
Wageningen,448168.0,106.0,40960.0,1347.0,3042.0,27.4,4.4,73.3,'s-Hertogenbosch,39.367536509568005,0,0,0,0,0,0,0,0,4228.0
Wassenaar,799869.0,157.0,27093.0,529.0,5118.0,56.6,3.5,70.0,The Hague,9.033306737323949,0,0,0,0,0,0,0,0,5094.707006369426
Waterland,497101.0,128.0,17609.0,339.0,5199.0,41.3,2.9,72.9,Amsterdam,12.063064433676736,0,0,0,0,0,0,0,0,3883.6015625
Weert,354656.0,136.0,50872.0,488.0,10425.0,34.8,3.3,71.6,Eindhoven,26.403462184890326,1,0,0,0,1,0,0,72167,2607.764705882353
West Betuwe,445305.0,141.0,52720.0,244.0,21593.0,39.0,2.8,76.0,'s-Hertogenbosch,19.28492985696759,2,0,0,1,0,1,0,111070,3158.191489361702
West Maas en Waal,421403.0,163.0,20065.0,263.0,7619.0,36.6,2.7,74.4,'s-Hertogenbosch,21.62932395137836,0,0,0,0,0,0,0,0,2585.294478527607
Westerkwartier,343694.0,165.0,64946.0,179.0,36263.0,34.9,2.9,74.2,Groningen,15.27553850235674,2,0,0,0,0,2,0,53792,2082.9939393939394
Westerveld,423746.0,185.0,19860.0,71.0,27865.0,36.6,2.7,69.1,Groningen,46.10294363857431,0,0,0,0,0,0,0,0,2290.518918918919
Westervoort,363393.0,119.0,15114.0,2155.0,701.0,33.4,3.3,71.6,'s-Hertogenbosch,54.096526665380985,1,0,0,0,0,1,0,39226,3053.72268907563
Westerwolde,311773.0,156.0,26537.0,96.0,27577.0,31.8,3.2,66.0,Groningen,43.44495602028205,0,0,0,0,0,0,0,0,1998.5448717948718
Westland,453597.0,123.0,114887.0,1423.0,8076.0,37.6,2.7,77.9,The Hague,10.042969104317113,0,0,0,0,0,0,0,0,3687.7804878048782
Weststellingwerf,365677.0,145.0,26467.0,120.0,22020.0,32.5,3.2,71.3,Groningen,52.97061134150365,1,0,0,0,0,1,0,21844,2521.9103448275864
Wierden,403015.0,146.0,24862.0,263.0,9460.0,38.4,2.6,76.4,Groningen,97.25486741500197,1,0,0,1,0,0,0,48660,2760.376712328767
Wijchen,404160.0,133.0,41537.0,629.0,6604.0,36.4,3.0,74.6,'s-Hertogenbosch,30.437390123429378,1,0,0,0,0,1,0,41569,3038.7969924812032
Wijdemeren,583088.0,125.0,24659.0,519.0,4754.0,45.0,2.8,73.6,Utrecht,15.24465842633083,0,0,0,0,0,0,0,0,4664.704
Wijk bij Duurstede,450410.0,128.0,23995.0,504.0,4758.0,38.6,2.8,74.4,Utrecht,17.47867401386712,0,0,0,0,0,0,0,0,3518.828125
Winterswijk,313199.0,157.0,29253.0,212.0,13813.0,33.6,3.1,72.1,'s-Hertogenbosch,102.31217997647084,2,0,0,1,0,1,0,70736,1994.8980891719746
Woensdrecht,368491.0,140.0,22191.0,242.0,9166.0,35.0,3.0,69.8,Breda,34.72569943573622,0,0,0,0,0,0,0,0,2632.0785714285716
Woerden,488926.0,124.0,53244.0,601.0,8855.0,39.6,2.9,76.9,Utrecht,15.304303641109165,1,0,0,1,0,0,0,101724,3942.951612903226
De Wolden,423009.0,169.0,24602.0,110.0,22439.0,38.1,2.6,73.0,Groningen,59.06296301364304,0,0,0,0,0,0,0,0,2503.0118343195268
Wormerland,461791.0,115.0,16612.0,431.0,3851.0,37.4,3.1,73.7,Amsterdam,15.34918658091546,0,0,0,0,0,0,0,0,4015.573913043478
Woudenberg,490476.0,130.0,14358.0,393.0,3652.0,38.5,2.7,78.0,Utrecht,20.9096629832789,0,0,0,0,0,0,0,0,3772.892307692308
Zaanstad,387053.0,103.0,159618.0,2165.0,7374.0,34.1,3.6,72.3,Amsterdam,13.908183469318493,6,0,1,1,0,4,0,275429,3757.7961165048546
Zaltbommel,452933.0,145.0,30349.0,386.0,7865.0,36.6,3.0,76.2,'s-Hertogenbosch,14.424415323063238,1,0,0,0,0,1,0,33667,3123.6758620689657
Zandvoort,608461.0,106.0,17542.0,547.0,3208.0,37.5,3.5,69.5,Amsterdam,24.514560633536917,1,0,0,0,0,1,0,32903,5740.198113207547
