"Bestaande koopwoningen; gemiddelde verkoopprijzen, regio"
""
"";"";"";"Perioden"
"Breda";"Gemiddelde verkoopprijs";"euro";"437260"
"Brederwiede";"Gemiddelde verkoopprijs";"euro";""
"Breukelen";"Gemiddelde verkoopprijs";"euro";""
"Brielle";"Gemiddelde verkoopprijs";"euro";""
"Broekhuizen";"Gemiddelde verkoopprijs";"euro";""
"Bronckhorst";"Gemiddelde verkoopprijs";"euro";"448373"
"Brouwershaven";"Gemiddelde verkoopprijs";"euro";""
"Bruinisse";"Gemiddelde verkoopprijs";"euro";""
"Brummen";"Gemiddelde verkoopprijs";"euro";"381877"
"Brunssum";"Gemiddelde verkoopprijs";"euro";"254101"
"Budel";"Gemiddelde verkoopprijs";"euro";""
"Bunnik";"Gemiddelde verkoopprijs";"euro";"550477"
"Bunschoten";"Gemiddelde verkoopprijs";"euro";"441758"
"Buren";"Gemiddelde verkoopprijs";"euro";"489397"
"Bussum";"Gemiddelde verkoopprijs";"euro";""
"Capelle aan den IJssel";"Gemiddelde verkoopprijs";"euro";"365589"
"Castricum";"Gemiddelde verkoopprijs";"euro";"484354"
"Chaam";"Gemiddelde verkoopprijs";"euro";""
"Coevorden";"Gemiddelde verkoopprijs";"euro";"352000"
"Cothen";"Gemiddelde verkoopprijs";"euro";""
"Cranendonck";"Gemiddelde verkoopprijs";"euro";"401855"
"Cromstrijen";"Gemiddelde verkoopprijs";"euro";""
"Cuijk";"Gemiddelde verkoopprijs";"euro";""
"Culemborg";"Gemiddelde verkoopprijs";"euro";"427235"
"Dalen";"Gemiddelde verkoopprijs";"euro";""
"Dalfsen";"Gemiddelde verkoopprijs";"euro";"453709"
"Dantumadeel";"Gemiddelde verkoopprijs";"euro";""
"Dantumadiel";"Gemiddelde verkoopprijs";"euro";"332254"
"Delft";"Gemiddelde verkoopprijs";"euro";"388177"
"Delfzijl";"Gemiddelde verkoopprijs";"euro";""
"Denekamp";"Gemiddelde verkoopprijs";"euro";""
"Deurne";"Gemiddelde verkoopprijs";"euro";"412143"
"Deventer";"Gemiddelde verkoopprijs";"euro";"367666"
"Didam";"Gemiddelde verkoopprijs";"euro";""
"Diemen";"Gemiddelde verkoopprijs";"euro";"510732"
"Diepenheim";"Gemiddelde verkoopprijs";"euro";""
"Diepenveen";"Gemiddelde verkoopprijs";"euro";""
"Diessen";"Gemiddelde verkoopprijs";"euro";""
"Diever";"Gemiddelde verkoopprijs";"euro";""
"Dijk en Waard";"Gemiddelde verkoopprijs";"euro";"401787"
"Dinkelland";"Gemiddelde verkoopprijs";"euro";"396513"
"Dinteloord en Prinsenland";"Gemiddelde verkoopprijs";"euro";""
"Dinxperlo";"Gemiddelde verkoopprijs";"euro";""
"Dirksland";"Gemiddelde verkoopprijs";"euro";""
"Dodewaard";"Gemiddelde verkoopprijs";"euro";""
"Doesburg";"Gemiddelde verkoopprijs";"euro";"361938"
"Doetinchem";"Gemiddelde verkoopprijs";"euro";"366531"
"Domburg";"Gemiddelde verkoopprijs";"euro";""
"Dongen";"Gemiddelde verkoopprijs";"euro";"407522"
"Dongeradeel";"Gemiddelde verkoopprijs";"euro";""
"Doorn";"Gemiddelde verkoopprijs";"euro";""
"Dordrecht";"Gemiddelde verkoopprijs";"euro";"337051"
